question,area,observed,null_mean,null_std,p_value
Q1a,V1,0.9771103896103895,0.5016478554340397,0.020984208761154022,0.0
Q1a,LM,0.959154989747095,0.5030677973342447,0.024313138190402,0.0
Q1a,AL,0.9036654135338346,0.5027078776486672,0.03281555909233086,0.0
Q1a,RL,0.9255510936431989,0.5034068694463432,0.02474773792855582,0.0
Q1b,V1,1.0,0.515125,0.06824347496281238,0.0
Q1b,LM,0.975,0.506875,0.07166273002753942,0.0
Q1b,AL,0.9625,0.5007499999999999,0.06981717195647501,0.0
Q1b,RL,0.9625,0.50625,0.06998883839584709,0.0
Q1c,V1,0.7553846153846153,0.3378071794871796,0.02835861929577883,0.0
Q1c,LM,0.7575384615384616,0.33649641025641025,0.026416705092711552,0.0
Q1c,AL,0.6434871794871795,0.3299733333333334,0.026957093509256486,0.0
Q1c,RL,0.6592820512820513,0.3345856410256412,0.027522790919288158,0.0
