area,true,predicted,proportion
V1,Cinematic,Cinematic,0.59375
V1,Cinematic,Sports1M,0.125
V1,Cinematic,Rendered,0.28125
V1,Sports1M,Cinematic,0.1328125
V1,Sports1M,Sports1M,0.6953125
V1,Sports1M,Rendered,0.171875
V1,Rendered,Cinematic,0.2109375
V1,Rendered,Sports1M,0.1328125
V1,Rendered,Rendered,0.65625
LM,Cinematic,Cinematic,0.671875
LM,Cinematic,Sports1M,0.1484375
LM,Cinematic,Rendered,0.1796875
LM,Sports1M,Cinematic,0.09375
LM,Sports1M,Sports1M,0.765625
LM,Sports1M,Rendered,0.140625
LM,Rendered,Cinematic,0.15625
LM,Rendered,Sports1M,0.140625
LM,Rendered,Rendered,0.703125
AL,Cinematic,Cinematic,0.7265625
AL,Cinematic,Sports1M,0.1171875
AL,Cinematic,Rendered,0.15625
AL,Sports1M,Cinematic,0.140625
AL,Sports1M,Sports1M,0.65625
AL,Sports1M,Rendered,0.203125
AL,Rendered,Cinematic,0.203125
AL,Rendered,Sports1M,0.21875
AL,Rendered,Rendered,0.578125
RL,Cinematic,Cinematic,0.5859375
RL,Cinematic,Sports1M,0.1171875
RL,Cinematic,Rendered,0.296875
RL,Sports1M,Cinematic,0.109375
RL,Sports1M,Sports1M,0.6328125
RL,Sports1M,Rendered,0.2578125
RL,Rendered,Cinematic,0.1953125
RL,Rendered,Sports1M,0.21875
RL,Rendered,Rendered,0.5859375
