area,true,predicted,proportion
V1,Cinematic,Cinematic,0.5859375
V1,Cinematic,Sports1M,0.1328125
V1,Cinematic,Rendered,0.28125
V1,Sports1M,Cinematic,0.1015625
V1,Sports1M,Sports1M,0.671875
V1,Sports1M,Rendered,0.2265625
V1,Rendered,Cinematic,0.21875
V1,Rendered,Sports1M,0.1640625
V1,Rendered,Rendered,0.6171875
LM,Cinematic,Cinematic,0.65625
LM,Cinematic,Sports1M,0.1484375
LM,Cinematic,Rendered,0.1953125
LM,Sports1M,Cinematic,0.109375
LM,Sports1M,Sports1M,0.6875
LM,Sports1M,Rendered,0.203125
LM,Rendered,Cinematic,0.15625
LM,Rendered,Sports1M,0.1875
LM,Rendered,Rendered,0.65625
AL,Cinematic,Cinematic,0.703125
AL,Cinematic,Sports1M,0.1328125
AL,Cinematic,Rendered,0.1640625
AL,Sports1M,Cinematic,0.125
AL,Sports1M,Sports1M,0.640625
AL,Sports1M,Rendered,0.234375
AL,Rendered,Cinematic,0.1953125
AL,Rendered,Sports1M,0.21875
AL,Rendered,Rendered,0.5859375
RL,Cinematic,Cinematic,0.5859375
RL,Cinematic,Sports1M,0.1484375
RL,Cinematic,Rendered,0.265625
RL,Sports1M,Cinematic,0.125
RL,Sports1M,Sports1M,0.6171875
RL,Sports1M,Rendered,0.2578125
RL,Rendered,Cinematic,0.1875
RL,Rendered,Sports1M,0.2265625
RL,Rendered,Rendered,0.5859375
