area,true,predicted,proportion
V1,Cinematic,Cinematic,0.625
V1,Cinematic,Sports1M,0.1484375
V1,Cinematic,Rendered,0.2265625
V1,Sports1M,Cinematic,0.1484375
V1,Sports1M,Sports1M,0.6640625
V1,Sports1M,Rendered,0.1875
V1,Rendered,Cinematic,0.2265625
V1,Rendered,Sports1M,0.2421875
V1,Rendered,Rendered,0.53125
LM,Cinematic,Cinematic,0.625
LM,Cinematic,Sports1M,0.140625
LM,Cinematic,Rendered,0.234375
LM,Sports1M,Cinematic,0.1484375
LM,Sports1M,Sports1M,0.5859375
LM,Sports1M,Rendered,0.265625
LM,Rendered,Cinematic,0.1796875
LM,Rendered,Sports1M,0.2109375
LM,Rendered,Rendered,0.609375
AL,Cinematic,Cinematic,0.6484375
AL,Cinematic,Sports1M,0.140625
AL,Cinematic,Rendered,0.2109375
AL,Sports1M,Cinematic,0.203125
AL,Sports1M,Sports1M,0.6015625
AL,Sports1M,Rendered,0.1953125
AL,Rendered,Cinematic,0.1875
AL,Rendered,Sports1M,0.296875
AL,Rendered,Rendered,0.515625
RL,Cinematic,Cinematic,0.59375
RL,Cinematic,Sports1M,0.15625
RL,Cinematic,Rendered,0.25
RL,Sports1M,Cinematic,0.1796875
RL,Sports1M,Sports1M,0.59375
RL,Sports1M,Rendered,0.2265625
RL,Rendered,Cinematic,0.1875
RL,Rendered,Sports1M,0.1875
RL,Rendered,Rendered,0.625
