question,area,observed,null_mean,null_std,p_value
Q1a,V1,1.0,0.5029332279562543,0.0213905104153218,0.0
Q1a,LM,0.9796736158578263,0.4985138841421735,0.02500034617517094,0.0
Q1a,AL,0.9427417976760083,0.49769403622693104,0.03458535377814734,0.0
Q1a,RL,0.9544130211893369,0.49762781954887214,0.027936790073946973,0.0
Q1b,V1,1.0,0.518,0.07332121111929345,0.0
Q1b,LM,1.0,0.5125,0.06666145812986692,0.0
Q1b,AL,0.9875,0.5154999999999998,0.07273926037567334,0.0
Q1b,RL,0.9875,0.525375,0.06895322236850139,0.0
Q1c,V1,0.7375384615384616,0.33751794871794866,0.028040008985002612,0.0
Q1c,LM,0.6508717948717948,0.32797333333333334,0.02902808948629232,0.0
Q1c,AL,0.589025641025641,0.3350451282051282,0.026289917301929172,0.0
Q1c,RL,0.6224615384615385,0.3292994871794872,0.027822017418843614,0.0
