question,area_a,area_b,mean_diff,std_diff,p_raw,p_bonferroni,significant
Q1a,V1,LM,0.010043403964456552,0.0075649408529876025,6.196167900367818e-09,3.7177007402206906e-08,True
Q1a,V1,AL,0.05068087833219412,0.004648426554554357,7.407895899751858e-10,4.444737539851115e-09,True
Q1a,V1,RL,0.018430878332194135,0.010116590028746023,1.7104272908725732e-09,1.026256374523544e-08,True
Q1a,LM,AL,0.04028708133971293,0.006449120762538107,7.536449388836203e-10,4.521869633301721e-09,True
Q1a,LM,RL,0.008037081339712955,0.011777709039873498,7.715689766321452e-05,0.0004629413859792871,True
Q1a,AL,RL,-0.03200632262474365,0.011429012101061757,8.023852197739538e-10,4.814311318643723e-09,True
Q1b,V1,LM,0.002999999999999994,0.014908051515875568,0.24647940374421728,1.0,False
Q1b,V1,AL,0.028499999999999998,0.010908712114635713,6.985167890223309e-10,4.191100734133985e-09,True
Q1b,V1,RL,0.03225000000000002,0.01522538997858513,2.211331853993046e-09,1.3267991123958276e-08,True
Q1b,LM,AL,0.02374999999999999,0.01068000468164692,1.2623891511550655e-09,7.574334906930392e-09,True
Q1b,LM,RL,0.027500000000000028,0.017139136501002628,8.747724492884758e-09,5.2486346957308546e-08,True
Q1b,AL,RL,0.0010000000000000276,0.009300537618869151,0.010193459230125757,0.06116075538075454,False
Q1c,V1,LM,-0.03539282051282053,0.037998940239210466,9.745764195656648e-08,5.847458517393989e-07,True
Q1c,V1,AL,0.025723076923076852,0.029883589175969675,8.722770609388702e-07,5.233662365633221e-06,True
Q1c,V1,RL,0.01996923076923076,0.03837997642522792,0.0014846473444478647,0.008907884066687188,True
Q1c,LM,AL,0.05570461538461533,0.023212525943631383,1.7763568394002505e-15,1.0658141036401503e-14,True
Q1c,LM,RL,0.049950769230769236,0.033652746488505116,3.0890845437170356e-12,1.8534507262302213e-11,True
Q1c,AL,RL,-0.0031364102564101735,0.02577154955251888,0.4286067370601476,1.0,False
