question,area,observed,null_mean,null_std,p_value
Q1a,V1,1.0,0.5027244958988379,0.020088141445100023,0.0
Q1a,LM,0.9987012987012986,0.4966409347231716,0.026659608358479223,0.0
Q1a,AL,0.9773368079289131,0.4982294941900205,0.03284758137566733,0.0
Q1a,RL,0.9924512987012987,0.49514999145591254,0.02576728717032222,0.0
Q1b,V1,1.0,0.5308750000000001,0.06631965677685615,0.0
Q1b,LM,0.9875,0.518625,0.06639124095089653,0.0
Q1b,AL,0.975,0.518625,0.06296067721205038,0.0
Q1b,RL,0.9625,0.5319999999999999,0.07233429338840602,0.0
Q1c,V1,0.7784615384615384,0.34058256410256404,0.02828990849780073,0.0
Q1c,LM,0.7655384615384616,0.3350225641025641,0.028138130049030395,0.0
Q1c,AL,0.6226666666666667,0.3356338461538461,0.024196427184491758,0.0
Q1c,RL,0.7237948717948718,0.3353097435897435,0.029002044789503835,0.0
