question,area,n_neurons,acc_mean,acc_std,chance
Q1a,V1,25,0.8089448051948052,0.035681241437953,0.5
Q1a,V1,50,0.8651828434723171,0.02987447955952902,0.5
Q1a,V1,100,0.8965810833902939,0.02535331339358292,0.5
Q1a,V1,200,0.9532681134654819,0.01589905302823671,0.5
Q1a,V1,317,0.9625196514012302,0.013719234952922375,0.5
Q1a,LM,25,0.8298415071770335,0.03958774891262251,0.5
Q1a,LM,50,0.8514960697197539,0.027336086618958803,0.5
Q1a,LM,100,0.8926337149692414,0.019123137963291275,0.5
Q1a,LM,200,0.9380532296650717,0.01788782648572517,0.5
Q1a,LM,317,0.9499495898838003,0.020733567421204968,0.5
Q1a,AL,25,0.7713012645249487,0.05062246086904407,0.5
Q1a,AL,50,0.8457672590567327,0.04684894509097397,0.5
Q1a,AL,100,0.8729049897470951,0.023068702783595584,0.5
Q1a,AL,200,0.915240943267259,0.014347437200706577,0.5
Q1a,AL,317,0.9267985304169514,0.0,0.5
Q1a,RL,25,0.8173368079289132,0.061653986083044815,0.5
Q1a,RL,50,0.8545830485304169,0.04401279299518915,0.5
Q1a,RL,100,0.9045975734791524,0.022840396992841207,0.5
Q1a,RL,200,0.9338653451811346,0.013889578408899145,0.5
Q1a,RL,317,0.9546629357484621,0.006357379070867012,0.5
Q1b,V1,25,0.89125,0.05478651750202782,0.5
Q1b,V1,50,0.9412499999999999,0.042223364385136346,0.5
Q1b,V1,100,0.9787500000000001,0.014842927608797414,0.5
Q1b,V1,200,0.99375,0.008385254915624207,0.5
Q1b,V1,317,0.99375,0.006249999999999978,0.5
Q1b,LM,25,0.8862499999999999,0.052870714956391486,0.5
Q1b,LM,50,0.95875,0.015860721925561913,0.5
Q1b,LM,100,0.9612499999999999,0.0205015243335709,0.5
Q1b,LM,200,0.9825000000000002,0.00829156197588852,0.5
Q1b,LM,317,0.9825000000000002,0.012747548783981964,0.5
Q1b,AL,25,0.8724999999999999,0.05208166663999914,0.5
Q1b,AL,50,0.9337500000000001,0.029606798205817533,0.5
Q1b,AL,100,0.9512499999999999,0.018915932438026927,0.5
Q1b,AL,200,0.9524999999999999,0.010897247358851695,0.5
Q1b,AL,317,0.95,0.0,0.5
Q1b,RL,25,0.85125,0.049513255800845896,0.5
Q1b,RL,50,0.9324999999999999,0.029685855217594804,0.5
Q1b,RL,100,0.9675,0.01952562418976664,0.5
Q1b,RL,200,0.9762500000000001,0.0141972708645007,0.5
Q1b,RL,317,0.9825000000000002,0.008291561975888519,0.5
Q1c,V1,25,0.5070564102564104,0.03451884124723685,0.3333333333333333
Q1c,V1,50,0.5310153846153847,0.03708063817965719,0.3333333333333333
Q1c,V1,100,0.5707076923076924,0.03606621713472239,0.3333333333333333
Q1c,V1,200,0.6218974358974358,0.0249933903162482,0.3333333333333333
Q1c,V1,317,0.6708820512820514,0.02223359104322073,0.3333333333333333
Q1c,LM,25,0.5309538461538461,0.019819238357539827,0.3333333333333333
Q1c,LM,50,0.5703076923076923,0.020631617540575103,0.3333333333333333
Q1c,LM,100,0.5886564102564102,0.016580603038103485,0.3333333333333333
Q1c,LM,200,0.6651897435897436,0.021401085706758166,0.3333333333333333
Q1c,LM,317,0.7007384615384616,0.01807264470192522,0.3333333333333333
Q1c,AL,25,0.5067897435897437,0.03835718630139462,0.3333333333333333
Q1c,AL,50,0.5505538461538462,0.021732626650821235,0.3333333333333333
Q1c,AL,100,0.5550358974358974,0.02107881705882962,0.3333333333333333
Q1c,AL,200,0.586871794871795,0.012739188219910305,0.3333333333333333
Q1c,AL,317,0.6197948717948718,0.0,0.3333333333333333
Q1c,RL,25,0.4766871794871794,0.02988623795218984,0.3333333333333333
Q1c,RL,50,0.5264307692307693,0.0441898254195628,0.3333333333333333
Q1c,RL,100,0.5456000000000001,0.020599774674345213,0.3333333333333333
Q1c,RL,200,0.6040820512820513,0.019012175758903585,0.3333333333333333
Q1c,RL,317,0.6349333333333333,0.017579870145126984,0.3333333333333333
