question,area_a,area_b,mean_diff,std_diff,p_raw,p_bonferroni,significant
Q1a,V1,LM,0.013207535885167465,0.020860516378331313,0.00017022784864551,0.00102136709187306,True
Q1a,V1,AL,0.0406816473000684,0.011983541993993256,7.544976683806673e-10,4.5269860102840035e-09,True
Q1a,V1,RL,0.017412337662337674,0.017104008996927485,3.9194779804935673e-07,2.3516867882961403e-06,True
Q1a,LM,AL,0.02312055707450452,0.014756075384213254,6.378665241252029e-09,3.827199144751217e-08,True
Q1a,LM,RL,-0.00014875256322621321,0.020613587071514127,0.9771032283055696,1.0,False
Q1a,AL,RL,-0.02219147300068358,0.016848709188912334,6.017532275419953e-09,3.6105193652519716e-08,True
Q1b,V1,LM,0.009750000000000003,0.013059957886608981,4.557912178743828e-05,0.0002734747307246297,True
Q1b,V1,AL,0.04300000000000006,0.007566372975210767,2.666363663071671e-10,1.5998181978430027e-09,True
Q1b,V1,RL,0.013750000000000007,0.012054563451241198,1.8346094981435236e-07,1.1007656988861142e-06,True
Q1b,LM,AL,0.031500000000000056,0.011247221879202005,5.59493074621686e-10,3.356958447730116e-09,True
Q1b,LM,RL,0.0022500000000000055,0.014510771860931469,0.27345066337684965,1.0,False
Q1b,AL,RL,-0.030750000000000065,0.012552390210633205,5.329506175038018e-10,3.197703705022811e-09,True
Q1c,V1,LM,-0.028219487179487163,0.03205645257166318,1.3054913772236887e-07,7.832948263342132e-07,True
Q1c,V1,AL,0.04586461538461537,0.021932979643797302,2.4868995751603507e-14,1.4921397450962104e-13,True
Q1c,V1,RL,0.030317948717948726,0.030461276006812005,1.370373858833318e-08,8.222243152999908e-08,True
Q1c,LM,AL,0.07182769230769229,0.02509286842430272,7.553512643873762e-10,4.532107586324258e-09,True
Q1c,LM,RL,0.05628102564102564,0.03154916347923215,3.552713678800501e-15,2.1316282072803006e-14,True
Q1c,AL,RL,-0.017977435897435886,0.02345839947615578,1.0728408850297149e-05,6.43704531017829e-05,True
