question,area,n_neurons,acc_mean,acc_std,chance
Q1a,V1,25,0.8451153451811345,0.029893219016836933,0.5
Q1a,V1,50,0.9122795625427204,0.02085654644672429,0.5
Q1a,V1,100,0.9522983595352017,0.015943129321356234,0.5
Q1a,V1,200,0.9833074162679425,0.009272545732709095,0.5
Q1a,V1,317,0.988958902939166,0.008997550358705553,0.5
Q1a,LM,25,0.8666776315789473,0.03884369416249253,0.5
Q1a,LM,50,0.9053772214627477,0.026547081383633837,0.5
Q1a,LM,100,0.9505673274094326,0.019133577124507088,0.5
Q1a,LM,200,0.9714341250854408,0.014643605846869079,0.5
Q1a,LM,317,0.987940874914559,0.006193295668559863,0.5
Q1a,AL,25,0.8398205741626794,0.04891850821855072,0.5
Q1a,AL,50,0.8734800068352699,0.03953233785856095,0.5
Q1a,AL,100,0.9343352699931649,0.016584761691530368,0.5
Q1a,AL,200,0.9561030416951469,0.0161423239660976,0.5
Q1a,AL,317,0.9773368079289131,0.0,0.5
Q1a,RL,25,0.8641255126452496,0.040159914061411894,0.5
Q1a,RL,50,0.906493933697881,0.03874570019615592,0.5
Q1a,RL,100,0.9484291695146959,0.022517982463399307,0.5
Q1a,RL,200,0.9659701811346547,0.010349141799108763,0.5
Q1a,RL,317,0.9782283834586465,0.008107838444303494,0.5
Q1b,V1,25,0.9125,0.04366062299143245,0.5
Q1b,V1,50,0.9487500000000001,0.02589039397150999,0.5
Q1b,V1,100,0.9800000000000001,0.012747548783981965,0.5
Q1b,V1,200,0.9949999999999999,0.008291561975888496,0.5
Q1b,V1,317,0.9950000000000001,0.006123724356957924,0.5
Q1b,LM,25,0.915,0.03699662146737187,0.5
Q1b,LM,50,0.9487500000000001,0.020501524333570897,0.5
Q1b,LM,100,0.96875,0.018750000000000003,0.5
Q1b,LM,200,0.98125,0.011524430571616116,0.5
Q1b,LM,317,0.97625,0.01179247641507078,0.5
Q1b,AL,25,0.8912500000000001,0.030129926982984875,0.5
Q1b,AL,50,0.925,0.029580398915498084,0.5
Q1b,AL,100,0.93875,0.028201285431696182,0.5
Q1b,AL,200,0.9712500000000001,0.01256234452640113,0.5
Q1b,AL,317,0.975,0.0,0.5
Q1b,RL,25,0.85625,0.05949002017145396,0.5
Q1b,RL,50,0.9137500000000001,0.02527968552019586,0.5
Q1b,RL,100,0.9400000000000001,0.02150581316760658,0.5
Q1b,RL,200,0.9637499999999999,0.014197270864500693,0.5
Q1b,RL,317,0.96,0.013462912017836278,0.5
Q1c,V1,25,0.49593846153846155,0.050016154129428524,0.3333333333333333
Q1c,V1,50,0.5356205128205127,0.020583879485523524,0.3333333333333333
Q1c,V1,100,0.5651487179487179,0.020514758882775326,0.3333333333333333
Q1c,V1,200,0.6311897435897436,0.022091814864869483,0.3333333333333333
Q1c,V1,317,0.6570666666666667,0.03216372317934284,0.3333333333333333
Q1c,LM,25,0.5236923076923077,0.0192019065457089,0.3333333333333333
Q1c,LM,50,0.5629128205128205,0.023711933263500552,0.3333333333333333
Q1c,LM,100,0.5968615384615383,0.03370526075014657,0.3333333333333333
Q1c,LM,200,0.6475384615384615,0.0213000850377809,0.3333333333333333
Q1c,LM,317,0.694420512820513,0.018946796335719805,0.3333333333333333
Q1c,AL,25,0.49765128205128206,0.0394890029549003,0.3333333333333333
Q1c,AL,50,0.5304923076923076,0.030090253893174206,0.3333333333333333
Q1c,AL,100,0.5674358974358975,0.019128205128205112,0.3333333333333333
Q1c,AL,200,0.6136717948717949,0.01814579279576176,0.3333333333333333
Q1c,AL,317,0.6226666666666667,0.0,0.3333333333333333
Q1c,RL,25,0.491374358974359,0.0330054548915323,0.3333333333333333
Q1c,RL,50,0.5278153846153846,0.02564380702863289,0.3333333333333333
Q1c,RL,100,0.5556102564102565,0.023262153476245506,0.3333333333333333
Q1c,RL,200,0.6122051282051283,0.03406564417537848,0.3333333333333333
Q1c,RL,317,0.6519179487179487,0.015171432374343662,0.3333333333333333
