question,area,observed,null_mean,null_std,p_value
Q1a,V1,0.9974025974025974,0.5000083304853044,0.019676007242269845,0.0
Q1a,LM,0.9734407040328092,0.4989718472317157,0.02615498798573063,0.0
Q1a,AL,0.9267985304169514,0.4970376794258373,0.03072997234344808,0.0
Q1a,RL,0.9698051948051948,0.5010612611073137,0.025129514233947985,0.0
Q1b,V1,1.0,0.5148750000000001,0.06436456226061045,0.0
Q1b,LM,1.0,0.5096249999999999,0.07539178917494928,0.0
Q1b,AL,0.95,0.5109999999999999,0.0747972258843869,0.0
Q1b,RL,0.9875,0.512,0.07200086805032285,0.0
Q1c,V1,0.7706666666666667,0.3439046153846153,0.03017813518527963,0.0
Q1c,LM,0.768,0.33960820512820505,0.03165800942182354,0.0
Q1c,AL,0.6197948717948718,0.33705128205128204,0.029901358321225247,0.0
Q1c,RL,0.7135384615384613,0.3372553846153846,0.027437506284004976,0.0
