area,true,predicted,proportion
V1,Cinematic,Cinematic,0.703125
V1,Cinematic,Sports1M,0.140625
V1,Cinematic,Rendered,0.15625
V1,Sports1M,Cinematic,0.1328125
V1,Sports1M,Sports1M,0.71875
V1,Sports1M,Rendered,0.1484375
V1,Rendered,Cinematic,0.1953125
V1,Rendered,Sports1M,0.1328125
V1,Rendered,Rendered,0.671875
LM,Cinematic,Cinematic,0.6953125
LM,Cinematic,Sports1M,0.1015625
LM,Cinematic,Rendered,0.203125
LM,Sports1M,Cinematic,0.1484375
LM,Sports1M,Sports1M,0.703125
LM,Sports1M,Rendered,0.1484375
LM,Rendered,Cinematic,0.2265625
LM,Rendered,Sports1M,0.15625
LM,Rendered,Rendered,0.6171875
AL,Cinematic,Cinematic,0.6171875
AL,Cinematic,Sports1M,0.1328125
AL,Cinematic,Rendered,0.25
AL,Sports1M,Cinematic,0.15625
AL,Sports1M,Sports1M,0.6953125
AL,Sports1M,Rendered,0.1484375
AL,Rendered,Cinematic,0.2890625
AL,Rendered,Sports1M,0.1640625
AL,Rendered,Rendered,0.546875
RL,Cinematic,Cinematic,0.65625
RL,Cinematic,Sports1M,0.1484375
RL,Cinematic,Rendered,0.1953125
RL,Sports1M,Cinematic,0.140625
RL,Sports1M,Sports1M,0.65625
RL,Sports1M,Rendered,0.203125
RL,Rendered,Cinematic,0.21875
RL,Rendered,Sports1M,0.2265625
RL,Rendered,Rendered,0.5546875
