question,area_a,area_b,mean_diff,std_diff,p_raw,p_bonferroni,significant
Q1a,V1,LM,0.003795881749829144,0.014441865866760929,0.12600346677035387,0.7560208006221232,False
Q1a,V1,AL,0.05833321941216684,0.010948476216960887,7.553512643873762e-10,4.532107586324258e-09,True
Q1a,V1,RL,0.024932245386192743,0.015505592939179663,9.769962616701378e-14,5.861977570020827e-13,True
Q1a,LM,AL,0.05432510252904993,0.00835549534913613,7.548390027588035e-10,4.529034016552821e-09,True
Q1a,LM,RL,0.020924128503075824,0.015453926573037315,3.40367733997482e-11,2.042206403984892e-10,True
Q1a,AL,RL,-0.034102101845523,0.010223302485305775,7.539859267508617e-10,4.523915560505171e-09,True
Q1b,V1,LM,0.008999999999999975,0.00969535971483267,0.00029633355211134376,0.0017780013126680624,True
Q1b,V1,AL,-0.004749999999999994,0.008249999999999999,0.0006362991412402051,0.0038177948474412303,True
Q1b,V1,RL,0.019000000000000013,0.010074720839804948,3.347248653797698e-09,2.0083491922786187e-08,True
Q1b,LM,AL,-0.012499999999999964,0.0050000000000000044,6.223868319075358e-11,3.734320991445215e-10,True
Q1b,LM,RL,0.011250000000000045,0.00760345316287279,8.886461741199657e-09,5.331877044719794e-08,True
Q1b,AL,RL,0.022750000000000006,0.008173891362135923,1.8852891843619372e-10,1.1311735106171624e-09,True
Q1c,V1,LM,-0.03648820512820513,0.0362557737440954,3.9194779804935673e-07,2.3516867882961403e-06,True
Q1c,V1,AL,-0.026637948717948737,0.02495659276462757,8.023532905172481e-08,4.814119743103488e-07,True
Q1c,V1,RL,-0.019844102564102545,0.02928838040181588,4.257582169941892e-05,0.0002554549301965135,True
Q1c,LM,AL,0.014463589743589722,0.02321174510561681,0.00011047033966936423,0.0006628220380161853,True
Q1c,LM,RL,0.021257435897435926,0.03258080934649389,4.4254613142058474e-05,0.00026552767885235085,True
Q1c,AL,RL,0.005776410256410307,0.01955854613436805,0.0797512318964993,0.4785073913789958,False
