area,n_neurons,mean_abs_d,median_abs_d,max_abs_d,frac_above_02
V1,6014,0.33314263820648193,0.29315444827079773,2.962418794631958,0.6707682075157965
LM,1158,0.3400259017944336,0.30692940950393677,2.9441800117492676,0.6986183074265976
AL,468,0.3180678188800812,0.2727583050727844,2.2036285400390625,0.6153846153846154
RL,952,0.3606327474117279,0.32087764143943787,3.8760480880737305,0.7090336134453782
