area,task,acc_mean,acc_std,chance,n_neurons
V1,5class_full,0.7910923076923077,0.019721499996962138,0.2,468
LM,5class_full,0.798543076923077,0.01236337413970568,0.2,468
AL,5class_full,0.7171384615384616,0.0,0.2,468
RL,5class_full,0.7642523076923077,0.01767667831389759,0.2,468
