area,task,acc_mean,acc_std,chance,n_neurons
V1,3class_origin,0.7785495223730519,0.016278297590254606,0.3333333333333333,468
LM,3class_origin,0.7790577425842132,0.01621993483376555,0.3333333333333333,468
AL,3class_origin,0.7234600301659124,0.0,0.3333333333333333,468
RL,3class_origin,0.7444884112619408,0.016198522602715162,0.3333333333333333,468
