area,split,peak_acc,peak_t,mean_acc
V1,stable,0.6606276111909675,23,0.6118520448222519
V1,unstable,0.6570293528583002,0,0.6116240161245643
LM,stable,0.654975470115393,70,0.602131019130832
LM,unstable,0.6595630904183537,34,0.611415122117973
AL,stable,0.6811905114568786,27,0.5884205833380789
AL,unstable,0.7023533867413916,43,0.62039500474476
RL,stable,0.7035206330210576,1,0.638978172416309
RL,unstable,0.6972539398585911,66,0.6145034349532895
