area,observed,null_mean,null_std,p_value
V1,0.9849025974025973,0.49811592190704035,0.020092877704723015,0.0
LM,0.9572881066302118,0.49770832621326044,0.024191210040427645,0.0
AL,0.9396103896103896,0.5005495984278879,0.028022528736932426,0.0
RL,0.9585868079289132,0.4972313952494874,0.02383851775505719,0.0
