area,true,predicted,proportion
V1,filmed,filmed,0.796875
V1,filmed,rendered,0.1875
V1,filmed,parametric,0.015625
V1,rendered,filmed,0.3984375
V1,rendered,rendered,0.59375
V1,rendered,parametric,0.0078125
V1,parametric,filmed,0.1
V1,parametric,rendered,0.0
V1,parametric,parametric,0.9
LM,filmed,filmed,0.81640625
LM,filmed,rendered,0.15625
LM,filmed,parametric,0.02734375
LM,rendered,filmed,0.3828125
LM,rendered,rendered,0.609375
LM,rendered,parametric,0.0078125
LM,parametric,filmed,0.1125
LM,parametric,rendered,0.0125
LM,parametric,parametric,0.875
AL,filmed,filmed,0.76953125
AL,filmed,rendered,0.203125
AL,filmed,parametric,0.02734375
AL,rendered,filmed,0.4765625
AL,rendered,rendered,0.5
AL,rendered,parametric,0.0234375
AL,parametric,filmed,0.1
AL,parametric,rendered,0.0
AL,parametric,parametric,0.9
RL,filmed,filmed,0.8046875
RL,filmed,rendered,0.1875
RL,filmed,parametric,0.0078125
RL,rendered,filmed,0.4296875
RL,rendered,rendered,0.546875
RL,rendered,parametric,0.0234375
RL,parametric,filmed,0.1
RL,parametric,rendered,0.0125
RL,parametric,parametric,0.8875
