task,area,peak_acc,peak_t,mean_acc,chance
binary,V1,0.694072643892846,26,0.6591442070881102,0.5
binary,LM,0.7087072015280682,69,0.652842610169538,0.5
binary,AL,0.7376108543063584,44,0.6437570301290432,0.5
binary,RL,0.7216884026539364,13,0.6719627969385553,0.5
3class,V1,0.4786473984666365,0,0.44565791280557143,0.3333333333333333
3class,LM,0.4938913531495646,69,0.4462106627764579,0.3333333333333333
3class,AL,0.515680814640726,70,0.432450993011017,0.3333333333333333
3class,RL,0.494166468189848,0,0.44815613052631753,0.3333333333333333
5class,V1,0.3408112550278743,29,0.3147282878721639,0.2
5class,LM,0.3607136472771301,60,0.3222431778838991,0.2
5class,AL,0.4024303261554937,27,0.30647471598109716,0.2
5class,RL,0.37788713059922596,61,0.32568020019287114,0.2
