question,area,observed,null_mean,null_std,p_value
Q1a,V1,0.8996838687628161,0.5012063397129186,0.025611033058799894,0.0
Q1a,LM,0.8839969241285031,0.4990751452494874,0.02509999367542716,0.0
Q1a,AL,0.8816259398496239,0.5018859791524265,0.02799724625435542,0.0
Q1a,RL,0.9110944976076555,0.5024653537252222,0.028457830129225665,0.0
Q1b,V1,0.8875,0.5335,0.06583312236253117,0.0
Q1b,LM,0.9,0.5418750000000001,0.06352595434151305,0.0
Q1b,AL,0.85,0.53425,0.05732636827848072,0.0
Q1b,RL,0.9,0.53075,0.05967149654567079,0.0
Q1c,V1,0.6325128205128204,0.3382430769230769,0.026776317580447236,0.0
Q1c,LM,0.6587692307692307,0.33660102564102573,0.026079939900625723,0.0
Q1c,AL,0.6355897435897436,0.33450153846153846,0.03017055492066573,0.0
Q1c,RL,0.6777435897435897,0.3393825641025641,0.030497804467167048,0.0
