question,area,n_neurons,acc_mean,acc_std
Q1a,V1,575,0.8867921223513328,0.011316535193958168
Q1a,LM,575,0.8854472829801777,0.008975071269220663
Q1a,AL,575,0.8816259398496239,0.0
Q1a,RL,575,0.8981309808612441,0.007842224401837778
Q1b,V1,575,0.8718750000000002,0.0171732895800426
Q1b,LM,575,0.875625,0.009249155366842931
Q1b,AL,575,0.85,0.0
Q1b,RL,575,0.8631250000000001,0.008361930100162287
Q1c,V1,575,0.6411230769230769,0.019290954709301415
Q1c,LM,575,0.6551794871794872,0.013131970613830125
Q1c,AL,575,0.6355897435897436,0.0
Q1c,RL,575,0.6651897435897436,0.014116166866235237
