question,area_a,area_b,mean_diff,std_diff,p_raw,p_bonferroni,significant
Q1a,V1,LM,0.0317407723855092,0.02790062911785837,1.9837293688799505e-08,1.1902376213279704e-07,True
Q1a,V1,AL,0.04491883116883129,0.017311186630665876,7.551804758280675e-10,4.531082854968405e-09,True
Q1a,V1,RL,0.005135850991114126,0.02528596496288974,0.12013983698044203,0.7208390218826521,False
Q1a,LM,AL,0.015831852358168294,0.017967949976887988,1.2909153734510404e-06,7.745492240706242e-06,True
Q1a,LM,RL,-0.023951127819548872,0.02393577752568081,7.546860913976161e-09,4.5281165483856967e-08,True
Q1a,AL,RL,-0.037887730690362414,0.012764271945249196,7.551804758280675e-10,4.531082854968405e-09,True
Q1b,V1,LM,0.0032499999999999994,0.02382357026140289,0.3464667321664582,1.0,False
Q1b,V1,AL,0.03375000000000005,0.017365554986812252,1.021441650853457e-09,6.1286499051207425e-09,True
Q1b,V1,RL,0.023750000000000007,0.026721947908039938,1.4962669057753277e-06,8.977601434651966e-06,True
Q1b,LM,AL,0.026500000000000065,0.015740076238697207,1.2405691416914827e-09,7.443414850148896e-09,True
Q1b,LM,RL,0.01650000000000001,0.026744158240632674,0.00029878509008527575,0.0017927105405116544,True
Q1b,AL,RL,-0.012500000000000037,0.018540496217739167,3.0627127932334583e-05,0.0001837627675940075,True
Q1c,V1,LM,-0.00528615384615384,0.04299856223151708,0.5335711137818162,1.0,False
Q1c,V1,AL,0.045673846153846266,0.0355636197035233,1.3391919779288126e-08,8.035151867572875e-08,True
Q1c,V1,RL,0.020752820512820527,0.05129866237636423,0.006131180232502587,0.03678708139501552,True
Q1c,LM,AL,0.04973538461538474,0.026758601603284762,1.0870035830988515e-09,6.522021498593109e-09,True
Q1c,LM,RL,0.02481435897435899,0.03584853172847451,1.9760169596594324e-05,0.00011856101757956594,True
Q1c,AL,RL,-0.023934358974359072,0.026578289529110555,1.7394549622906652e-07,1.0436729773743991e-06,True
