area,true,predicted,proportion
V1,Cinematic,Cinematic,0.484375
V1,Cinematic,Sports1M,0.28125
V1,Cinematic,Rendered,0.234375
V1,Sports1M,Cinematic,0.1875
V1,Sports1M,Sports1M,0.5390625
V1,Sports1M,Rendered,0.2734375
V1,Rendered,Cinematic,0.2890625
V1,Rendered,Sports1M,0.296875
V1,Rendered,Rendered,0.4140625
LM,Cinematic,Cinematic,0.5859375
LM,Cinematic,Sports1M,0.2109375
LM,Cinematic,Rendered,0.203125
LM,Sports1M,Cinematic,0.1953125
LM,Sports1M,Sports1M,0.578125
LM,Sports1M,Rendered,0.2265625
LM,Rendered,Cinematic,0.234375
LM,Rendered,Sports1M,0.2421875
LM,Rendered,Rendered,0.5234375
AL,Cinematic,Cinematic,0.4921875
AL,Cinematic,Sports1M,0.265625
AL,Cinematic,Rendered,0.2421875
AL,Sports1M,Cinematic,0.2578125
AL,Sports1M,Sports1M,0.5
AL,Sports1M,Rendered,0.2421875
AL,Rendered,Cinematic,0.2578125
AL,Rendered,Sports1M,0.28125
AL,Rendered,Rendered,0.4609375
RL,Cinematic,Cinematic,0.609375
RL,Cinematic,Sports1M,0.2421875
RL,Cinematic,Rendered,0.1484375
RL,Sports1M,Cinematic,0.2578125
RL,Sports1M,Sports1M,0.4453125
RL,Sports1M,Rendered,0.296875
RL,Rendered,Cinematic,0.125
RL,Rendered,Sports1M,0.3359375
RL,Rendered,Rendered,0.5390625
