area,true,predicted,proportion
V1,Cinematic,Cinematic,0.484375
V1,Cinematic,Sports1M,0.234375
V1,Cinematic,Rendered,0.28125
V1,Sports1M,Cinematic,0.203125
V1,Sports1M,Sports1M,0.53125
V1,Sports1M,Rendered,0.265625
V1,Rendered,Cinematic,0.3125
V1,Rendered,Sports1M,0.2578125
V1,Rendered,Rendered,0.4296875
LM,Cinematic,Cinematic,0.5703125
LM,Cinematic,Sports1M,0.21875
LM,Cinematic,Rendered,0.2109375
LM,Sports1M,Cinematic,0.1875
LM,Sports1M,Sports1M,0.5546875
LM,Sports1M,Rendered,0.2578125
LM,Rendered,Cinematic,0.2109375
LM,Rendered,Sports1M,0.25
LM,Rendered,Rendered,0.5390625
AL,Cinematic,Cinematic,0.5078125
AL,Cinematic,Sports1M,0.2421875
AL,Cinematic,Rendered,0.25
AL,Sports1M,Cinematic,0.21875
AL,Sports1M,Sports1M,0.4921875
AL,Sports1M,Rendered,0.2890625
AL,Rendered,Cinematic,0.2421875
AL,Rendered,Sports1M,0.25
AL,Rendered,Rendered,0.5078125
RL,Cinematic,Cinematic,0.59375
RL,Cinematic,Sports1M,0.265625
RL,Cinematic,Rendered,0.140625
RL,Sports1M,Cinematic,0.265625
RL,Sports1M,Sports1M,0.4609375
RL,Sports1M,Rendered,0.2734375
RL,Rendered,Cinematic,0.1484375
RL,Rendered,Sports1M,0.328125
RL,Rendered,Rendered,0.5234375
