question,area,n_neurons,acc_mean,acc_std,chance
Q1a,V1,25,0.7746915584415583,0.049561481804962934,0.5
Q1a,V1,50,0.833045967190704,0.020121630634071228,0.5
Q1a,V1,100,0.8874038790157212,0.03761637556408118,0.5
Q1a,V1,200,0.9188623547505126,0.019528986237807317,0.5
Q1a,V1,347,0.9286944634313056,0.013862124715985642,0.5
Q1a,LM,25,0.8220155502392343,0.032190800243227104,0.5
Q1a,LM,50,0.839727016404648,0.027668530802432336,0.5
Q1a,LM,100,0.8788294600136706,0.03196342983241799,0.5
Q1a,LM,200,0.9234471120984278,0.01918100946112704,0.5
Q1a,LM,347,0.9456074846206425,0.014613405436963963,0.5
Q1a,AL,25,0.7512333390293917,0.036961948781729384,0.5
Q1a,AL,50,0.7614063568010937,0.033711029658460324,0.5
Q1a,AL,100,0.8014255809979494,0.02259586944008401,0.5
Q1a,AL,200,0.8710060663021189,0.017618662778840118,0.5
Q1a,AL,347,0.8916652426520848,0.0,0.5
Q1a,RL,25,0.7640554511278195,0.05052274909835089,0.5
Q1a,RL,50,0.8166144053315106,0.03089531749313425,0.5
Q1a,RL,100,0.8547560663021189,0.01779961635520987,0.5
Q1a,RL,200,0.8893134825700614,0.018527435996982655,0.5
Q1a,RL,347,0.921338858509911,0.012126215549567564,0.5
Q1b,V1,25,0.9037499999999999,0.04678741818053226,0.5
Q1b,V1,50,0.9750000000000002,0.01677050983124843,0.5
Q1b,V1,100,0.98125,0.01605654072333142,0.5
Q1b,V1,200,0.9875,0.013693063937629165,0.5
Q1b,V1,347,0.99875,0.0037499999999999873,0.5
Q1b,LM,25,0.9237500000000001,0.03931046298379096,0.5
Q1b,LM,50,0.95625,0.02253469547164994,0.5
Q1b,LM,100,0.9799999999999999,0.015000000000000015,0.5
Q1b,LM,200,0.98375,0.011250000000000007,0.5
Q1b,LM,347,0.9924999999999999,0.010000000000000004,0.5
Q1b,AL,25,0.89625,0.03448278556033429,0.5
Q1b,AL,50,0.93875,0.029288436284649968,0.5
Q1b,AL,100,0.9512499999999999,0.0141972708645007,0.5
Q1b,AL,200,0.9800000000000001,0.011456439237389609,0.5
Q1b,AL,347,0.9875,0.0,0.5
Q1b,RL,25,0.89625,0.054213121105503595,0.5
Q1b,RL,50,0.9325000000000001,0.03072051431861125,0.5
Q1b,RL,100,0.95875,0.01681703005884214,0.5
Q1b,RL,200,0.9687499999999998,0.016056540723331427,0.5
Q1b,RL,347,0.9737500000000001,0.006731456008918129,0.5
Q1c,V1,25,0.5106769230769231,0.024618822409510827,0.3333333333333333
Q1c,V1,50,0.5715384615384616,0.02426451862092726,0.3333333333333333
Q1c,V1,100,0.5922358974358974,0.01181910998962045,0.3333333333333333
Q1c,V1,200,0.6507692307692307,0.027562239650822294,0.3333333333333333
Q1c,V1,347,0.6923589743589743,0.03355138933778637,0.3333333333333333
Q1c,LM,25,0.5312307692307693,0.046515896203400436,0.3333333333333333
Q1c,LM,50,0.5889128205128205,0.02006885976207672,0.3333333333333333
Q1c,LM,100,0.6221025641025643,0.033325135086505774,0.3333333333333333
Q1c,LM,200,0.6837025641025641,0.025970780121481598,0.3333333333333333
Q1c,LM,347,0.7201025641025641,0.026392436108868073,0.3333333333333333
Q1c,AL,25,0.539846153846154,0.030013777244085656,0.3333333333333333
Q1c,AL,50,0.5723589743589743,0.021613556512408035,0.3333333333333333
Q1c,AL,100,0.6068717948717948,0.02031613396159073,0.3333333333333333
Q1c,AL,200,0.6445641025641026,0.01799649319335251,0.3333333333333333
Q1c,AL,347,0.6799999999999999,0.0,0.3333333333333333
Q1c,RL,25,0.5364820512820513,0.02959098073225876,0.3333333333333333
Q1c,RL,50,0.5699897435897436,0.02394067618784735,0.3333333333333333
Q1c,RL,100,0.5888,0.03113785344495931,0.3333333333333333
Q1c,RL,200,0.6450769230769231,0.018735755492087926,0.3333333333333333
Q1c,RL,347,0.696974358974359,0.015023050446145377,0.3333333333333333
