trial_idx,hash,type,short_name,movie_name,label,is_natural,origin,naturalness_group
0,J4PH3ez0PBmcINVwekyF,Clip,sports1m,2011 KIA X-GAME Aggressive Inline VERT Final,Sports1M,True,filmed,human_filmed
1,n2kq4Nv6UNm4wJbdtuHM,Clip,sports1m,2010 WORLDS Justin Ruiz (USA) dec Richard Karelson (EST) 96 kg GR,Sports1M,True,filmed,human_filmed
2,iYxs1vPwdSenUzRva/I3,Clip,Cinematic,Mad Max: Fury Road (2015),Cinematic,True,filmed,human_filmed
3,N1Sn679rCW0XsG5S7c/C,Clip,Cinematic,Star Wars: Episode VII - The Force Awakens (2015),Cinematic,True,filmed,human_filmed
4,jlM0Ornu8Dw2nAXCwego,Clip,Rendered,mountainlake_047-1-0-70-0_54.89.40.102,Rendered,True,rendered,cg_natural
5,iXM+aZY10zP+t3wPmZOW,Clip,Cinematic,The Matrix Reloaded (2003),Cinematic,True,filmed,human_filmed
6,MaN8zZQItdhsFNBq5/yl,Clip,Rendered,run213-darkTemple-1-0,Rendered,True,rendered,cg_natural
7,18PTv0aCUhaUeL2r9kDd,Clip,sports1m,2012 July 10 Midweek MTB Corner Canyon XC Mountain Bike Race (Stabilized),Sports1M,True,filmed,human_filmed
8,cK20wOm48y1gpxBcZuzN,Clip,Cinematic,The Matrix Reloaded (2003),Cinematic,True,filmed,human_filmed
9,s8DvZS/fghphUcTsLOzM,Clip,Cinematic,The Matrix (1999),Cinematic,True,filmed,human_filmed
10,8IyLxfa6UikBgn/lOdpD,Clip,sports1m,2012 January 28 Frozen Hog Snow Mountain Bike Race,Sports1M,True,filmed,human_filmed
11,AXD+rrWG8VbV+xLvzwfb,Clip,sports1m,2012 May 28 ICUP 7th Annual Stan Crane Memorial XC Mountain Bike Race,Sports1M,True,filmed,human_filmed
12,tRgm529SPpQspr220FRm,Trippy,UNKNOWN,UNKNOWN,Trippy,False,parametric,parametric
13,IM+4otcj9xG0TMVozt83,Trippy,UNKNOWN,UNKNOWN,Trippy,False,parametric,parametric
14,sg7sThmmNsQIXxQkh8b5,Trippy,UNKNOWN,UNKNOWN,Trippy,False,parametric,parametric
15,+4gByvU9LfvSD0JHP6Ae,Trippy,UNKNOWN,UNKNOWN,Trippy,False,parametric,parametric
16,Ojz9m3WEOVsdqsRb80wc,Clip,sports1m,2012 August 14 Midweek MTB Solitude XC Mountain Bike Race,Sports1M,True,filmed,human_filmed
17,SidmZbSU27eY9JI02CNs,Clip,Rendered,swamp_054-1-11-70-0_54.162.127.170,Rendered,True,rendered,cg_natural
18,SM8AsJdh8ngk+hFny/y+,Clip,Cinematic,Naqoyqatsi: Life as War (2002),Cinematic,True,filmed,human_filmed
19,HOyjywQ3pn6yuOCnlHki,Clip,sports1m,2011 July 23 ICUP Solitude XC Mountain Bike Race,Sports1M,True,filmed,human_filmed
