area_a,area_b,n_neurons,mean_diff,std_diff,p_raw,p_bonferroni,significant
V1,LM,468,0.015570915926179112,0.013201040086775721,4.227825986334831e-08,2.5366955918008985e-07,True
V1,AL,468,0.03232211209842789,0.00981802825955223,7.526228061894623e-10,4.515736837136773e-09,True
V1,RL,468,0.02121240601503761,0.014788861968875926,4.010101089272243e-09,2.406060653563346e-08,True
LM,AL,468,0.01829964114832534,0.009780087038661204,9.582882278455158e-10,5.749729367073095e-09,True
LM,RL,468,0.007189935064935049,0.012222090620834795,0.0005194605766886186,0.003116763460131712,True
AL,RL,468,-0.009910287081339706,0.009534933255874987,1.2478775597384225e-07,7.487265358430535e-07,True
