question,area,observed,null_mean,null_std,p_value
Q1a,V1,0.9987012987012986,0.5023703861927544,0.019251571276886145,0.0
Q1a,LM,0.9645762132604236,0.5013430023923444,0.025531194846626568,0.0
Q1a,AL,0.9023496240601503,0.5030592959671908,0.027177049792878355,0.0
Q1a,RL,0.9382775119617225,0.49891255126452494,0.025120613763756697,0.0
Q1b,V1,1.0,0.5273749999999999,0.06079409407993509,0.0
Q1b,LM,0.9875,0.5155,0.061240305355215206,0.0
Q1b,AL,0.975,0.5045000000000001,0.06622688275919379,0.0
Q1b,RL,0.9875,0.5173749999999999,0.0685769412776627,0.0
Q1c,V1,0.719076923076923,0.33800307692307685,0.027754730992016207,0.0
Q1c,LM,0.6588717948717949,0.33211794871794864,0.028771837260233978,0.0
Q1c,AL,0.5972307692307692,0.33077230769230775,0.025606226457623147,0.0
Q1c,RL,0.629948717948718,0.3313569230769231,0.028021807437149857,0.0
