area,true,predicted,proportion
V1,Cinematic,Cinematic,0.6484375
V1,Cinematic,Sports1M,0.1171875
V1,Cinematic,Rendered,0.234375
V1,Sports1M,Cinematic,0.1796875
V1,Sports1M,Sports1M,0.65625
V1,Sports1M,Rendered,0.1640625
V1,Rendered,Cinematic,0.234375
V1,Rendered,Sports1M,0.1875
V1,Rendered,Rendered,0.578125
LM,Cinematic,Cinematic,0.59375
LM,Cinematic,Sports1M,0.1796875
LM,Cinematic,Rendered,0.2265625
LM,Sports1M,Cinematic,0.1171875
LM,Sports1M,Sports1M,0.7265625
LM,Sports1M,Rendered,0.15625
LM,Rendered,Cinematic,0.2421875
LM,Rendered,Sports1M,0.1328125
LM,Rendered,Rendered,0.625
AL,Cinematic,Cinematic,0.4453125
AL,Cinematic,Sports1M,0.2578125
AL,Cinematic,Rendered,0.296875
AL,Sports1M,Cinematic,0.1875
AL,Sports1M,Sports1M,0.59375
AL,Sports1M,Rendered,0.21875
AL,Rendered,Cinematic,0.265625
AL,Rendered,Sports1M,0.1953125
AL,Rendered,Rendered,0.5390625
RL,Cinematic,Cinematic,0.625
RL,Cinematic,Sports1M,0.1640625
RL,Cinematic,Rendered,0.2109375
RL,Sports1M,Cinematic,0.1328125
RL,Sports1M,Sports1M,0.640625
RL,Sports1M,Rendered,0.2265625
RL,Rendered,Cinematic,0.3046875
RL,Rendered,Sports1M,0.2265625
RL,Rendered,Rendered,0.46875
