area,true,predicted,proportion
V1,Cinematic,Cinematic,0.6328125
V1,Cinematic,Sports1M,0.1484375
V1,Cinematic,Rendered,0.21875
V1,Sports1M,Cinematic,0.1953125
V1,Sports1M,Sports1M,0.640625
V1,Sports1M,Rendered,0.1640625
V1,Rendered,Cinematic,0.2265625
V1,Rendered,Sports1M,0.203125
V1,Rendered,Rendered,0.5703125
LM,Cinematic,Cinematic,0.6171875
LM,Cinematic,Sports1M,0.1484375
LM,Cinematic,Rendered,0.234375
LM,Sports1M,Cinematic,0.1328125
LM,Sports1M,Sports1M,0.703125
LM,Sports1M,Rendered,0.1640625
LM,Rendered,Cinematic,0.2109375
LM,Rendered,Sports1M,0.1171875
LM,Rendered,Rendered,0.671875
AL,Cinematic,Cinematic,0.5
AL,Cinematic,Sports1M,0.25
AL,Cinematic,Rendered,0.25
AL,Sports1M,Cinematic,0.234375
AL,Sports1M,Sports1M,0.5859375
AL,Sports1M,Rendered,0.1796875
AL,Rendered,Cinematic,0.25
AL,Rendered,Sports1M,0.1953125
AL,Rendered,Rendered,0.5546875
RL,Cinematic,Cinematic,0.546875
RL,Cinematic,Sports1M,0.1875
RL,Cinematic,Rendered,0.265625
RL,Sports1M,Cinematic,0.1640625
RL,Sports1M,Sports1M,0.609375
RL,Sports1M,Rendered,0.2265625
RL,Rendered,Cinematic,0.296875
RL,Rendered,Sports1M,0.234375
RL,Rendered,Rendered,0.46875
