question,area,observed,null_mean,null_std,p_value
Q1a,V1,0.9862012987012987,0.49951038106630213,0.016030773951809484,0.0
Q1a,LM,0.9862012987012987,0.5061911739576215,0.025217445820615185,0.0
Q1a,AL,0.9619446343130553,0.5060237525632263,0.02505504352643708,0.0
Q1a,RL,0.9697881066302119,0.49672338516746417,0.02294389646254468,0.0
Q1b,V1,1.0,0.51275,0.06555007627760627,0.0
Q1b,LM,1.0,0.5153750000000001,0.07095013653968539,0.0
Q1b,AL,0.975,0.516375,0.06568616197495482,0.0
Q1b,RL,0.9875,0.5157500000000002,0.07855372365457922,0.0
Q1c,V1,0.7451282051282051,0.33254461538461527,0.02984551129804418,0.0
Q1c,LM,0.7216410256410256,0.3326215384615385,0.029369036260341864,0.0
Q1c,AL,0.5476923076923077,0.3365169230769231,0.024039734453818844,0.0
Q1c,RL,0.6444102564102565,0.3372502564102564,0.02767865454502347,0.0
