area,true,predicted,proportion
V1,Cinematic,Cinematic,0.59375
V1,Cinematic,Sports1M,0.109375
V1,Cinematic,Rendered,0.296875
V1,Sports1M,Cinematic,0.1328125
V1,Sports1M,Sports1M,0.65625
V1,Sports1M,Rendered,0.2109375
V1,Rendered,Cinematic,0.2734375
V1,Rendered,Sports1M,0.2265625
V1,Rendered,Rendered,0.5
LM,Cinematic,Cinematic,0.7109375
LM,Cinematic,Sports1M,0.1484375
LM,Cinematic,Rendered,0.140625
LM,Sports1M,Cinematic,0.171875
LM,Sports1M,Sports1M,0.625
LM,Sports1M,Rendered,0.203125
LM,Rendered,Cinematic,0.1328125
LM,Rendered,Sports1M,0.2265625
LM,Rendered,Rendered,0.640625
AL,Cinematic,Cinematic,0.6953125
AL,Cinematic,Sports1M,0.1328125
AL,Cinematic,Rendered,0.171875
AL,Sports1M,Cinematic,0.140625
AL,Sports1M,Sports1M,0.703125
AL,Sports1M,Rendered,0.15625
AL,Rendered,Cinematic,0.125
AL,Rendered,Sports1M,0.125
AL,Rendered,Rendered,0.75
RL,Cinematic,Cinematic,0.6640625
RL,Cinematic,Sports1M,0.1328125
RL,Cinematic,Rendered,0.203125
RL,Sports1M,Cinematic,0.171875
RL,Sports1M,Sports1M,0.609375
RL,Sports1M,Rendered,0.21875
RL,Rendered,Cinematic,0.1328125
RL,Rendered,Sports1M,0.15625
RL,Rendered,Rendered,0.7109375
