question,area,observed,null_mean,null_std,p_value
Q1a,V1,1.0,0.499659475393028,0.02261081595849735,0.0
Q1a,LM,0.9875,0.501377136021873,0.026916224350149072,0.0
Q1a,AL,0.9684723171565277,0.5004653110047848,0.02728323593911618,0.0
Q1a,RL,0.9875,0.5009059723171565,0.025140491625548465,0.0
Q1b,V1,1.0,0.525375,0.07222912760791175,0.0
Q1b,LM,1.0,0.52025,0.0668201878177546,0.0
Q1b,AL,1.0,0.519625,0.06349840057040808,0.0
Q1b,RL,1.0,0.523875,0.06548127117733742,0.0
Q1c,V1,0.7285128205128205,0.3363323076923077,0.029682104867670877,0.0
Q1c,LM,0.7412307692307692,0.33293128205128203,0.02589335811510971,0.0
Q1c,AL,0.732102564102564,0.335305641025641,0.023987245591872618,0.0
Q1c,RL,0.7175384615384615,0.33554974358974365,0.02868869900543748,0.0
