question,area,n_neurons,acc_mean,acc_std,chance
Q1a,V1,25,0.8728605604921394,0.03971601438348024,0.5
Q1a,V1,50,0.9206848086124403,0.032799538372598365,0.5
Q1a,V1,100,0.9591861756664389,0.01065186440276995,0.5
Q1a,V1,200,0.982764012303486,0.008565253431198874,0.5
Q1a,V1,387,0.9867378673957621,0.007921528785084406,0.5
Q1a,LM,25,0.8656091934381408,0.02581809266970847,0.5
Q1a,LM,50,0.9340392173615857,0.0251059026508489,0.5
Q1a,LM,100,0.9588623547505126,0.014134613114007084,0.5
Q1a,LM,200,0.9693134825700616,0.01163945212723537,0.5
Q1a,LM,387,0.982937884483937,0.005470325393216778,0.5
Q1a,AL,25,0.8788738892686261,0.039850703084652904,0.5
Q1a,AL,50,0.9031561859193438,0.02618693673619099,0.5
Q1a,AL,100,0.9367993848257006,0.019131460647892444,0.5
Q1a,AL,200,0.961628075871497,0.00711667109580856,0.5
Q1a,AL,387,0.9684723171565277,0.0,0.5
Q1a,RL,25,0.8886325187969926,0.02022328172877162,0.5
Q1a,RL,50,0.9270860389610389,0.009766120935623403,0.5
Q1a,RL,100,0.9465259740259739,0.01358973695321615,0.5
Q1a,RL,200,0.9688973855092277,0.012596558540596733,0.5
Q1a,RL,387,0.981948906356801,0.005750077632371726,0.5
Q1b,V1,25,0.9099999999999999,0.05471517157059823,0.5
Q1b,V1,50,0.96125,0.03555365663331974,0.5
Q1b,V1,100,0.9962500000000001,0.00572821961869478,0.5
Q1b,V1,200,0.9975000000000002,0.004999999999999982,0.5
Q1b,V1,387,1.0,0.0,0.5
Q1b,LM,25,0.9424999999999999,0.037165171868296265,0.5
Q1b,LM,50,0.9862500000000001,0.011792476415070755,0.5
Q1b,LM,100,0.99875,0.003749999999999987,0.5
Q1b,LM,200,1.0,0.0,0.5
Q1b,LM,387,1.0,0.0,0.5
Q1b,AL,25,0.9487500000000001,0.02527968552019585,0.5
Q1b,AL,50,0.9775,0.01346291201783628,0.5
Q1b,AL,100,0.99375,0.008385254915624207,0.5
Q1b,AL,200,1.0,0.0,0.5
Q1b,AL,387,1.0,0.0,0.5
Q1b,RL,25,0.9324999999999999,0.0358817502360183,0.5
Q1b,RL,50,0.9737500000000001,0.025890393971509967,0.5
Q1b,RL,100,0.9875,0.011180339887498947,0.5
Q1b,RL,200,0.9925,0.006123724356957924,0.5
Q1b,RL,387,0.9962500000000001,0.00572821961869478,0.5
Q1c,V1,25,0.4872205128205128,0.021191500907595803,0.3333333333333333
Q1c,V1,50,0.5431589743589743,0.02407526222392104,0.3333333333333333
Q1c,V1,100,0.5556205128205128,0.03151403014515091,0.3333333333333333
Q1c,V1,200,0.5864820512820513,0.03751577849073566,0.3333333333333333
Q1c,V1,387,0.6581743589743589,0.019955442805595414,0.3333333333333333
Q1c,LM,25,0.5405333333333333,0.021808408465908487,0.3333333333333333
Q1c,LM,50,0.5638358974358975,0.02028048942088326,0.3333333333333333
Q1c,LM,100,0.5971076923076923,0.032580397296049675,0.3333333333333333
Q1c,LM,200,0.6327692307692308,0.02300726809668734,0.3333333333333333
Q1c,LM,387,0.6739487179487179,0.014037500259794188,0.3333333333333333
Q1c,AL,25,0.5244307692307693,0.021254974434201365,0.3333333333333333
Q1c,AL,50,0.5761846153846154,0.03301391096033275,0.3333333333333333
Q1c,AL,100,0.6153333333333333,0.01482789275931644,0.3333333333333333
Q1c,AL,200,0.6640615384615385,0.018266560128686247,0.3333333333333333
Q1c,AL,387,0.732102564102564,0.0,0.3333333333333333
Q1c,RL,25,0.4880410256410256,0.025174680203329462,0.3333333333333333
Q1c,RL,50,0.5579076923076923,0.03696809790866823,0.3333333333333333
Q1c,RL,100,0.5771384615384616,0.03286885702300408,0.3333333333333333
Q1c,RL,200,0.6255487179487179,0.03199090764975411,0.3333333333333333
Q1c,RL,387,0.6702871794871795,0.01839280938878995,0.3333333333333333
