area,true,predicted,proportion
V1,Cinematic,Cinematic,0.59375
V1,Cinematic,Sports1M,0.1171875
V1,Cinematic,Rendered,0.2890625
V1,Sports1M,Cinematic,0.171875
V1,Sports1M,Sports1M,0.65625
V1,Sports1M,Rendered,0.171875
V1,Rendered,Cinematic,0.265625
V1,Rendered,Sports1M,0.1640625
V1,Rendered,Rendered,0.5703125
LM,Cinematic,Cinematic,0.7421875
LM,Cinematic,Sports1M,0.125
LM,Cinematic,Rendered,0.1328125
LM,Sports1M,Cinematic,0.15625
LM,Sports1M,Sports1M,0.6328125
LM,Sports1M,Rendered,0.2109375
LM,Rendered,Cinematic,0.1328125
LM,Rendered,Sports1M,0.2265625
LM,Rendered,Rendered,0.640625
AL,Cinematic,Cinematic,0.7109375
AL,Cinematic,Sports1M,0.1328125
AL,Cinematic,Rendered,0.15625
AL,Sports1M,Cinematic,0.109375
AL,Sports1M,Sports1M,0.7578125
AL,Sports1M,Rendered,0.1328125
AL,Rendered,Cinematic,0.15625
AL,Rendered,Sports1M,0.1171875
AL,Rendered,Rendered,0.7265625
RL,Cinematic,Cinematic,0.6796875
RL,Cinematic,Sports1M,0.15625
RL,Cinematic,Rendered,0.1640625
RL,Sports1M,Cinematic,0.15625
RL,Sports1M,Sports1M,0.609375
RL,Sports1M,Rendered,0.234375
RL,Rendered,Cinematic,0.140625
RL,Rendered,Sports1M,0.1875
RL,Rendered,Rendered,0.671875
