question,area,observed,null_mean,null_std,p_value
Q1a,V1,0.9987012987012986,0.4995145249487355,0.019631937396172947,0.0
Q1a,LM,0.9848855092276144,0.5007126623376624,0.025361806477025094,0.0
Q1a,AL,0.9494446343130554,0.49610419514695836,0.03138924383582226,0.0
Q1a,RL,0.9848855092276144,0.5011382006151742,0.02574764445200581,0.0
Q1b,V1,1.0,0.52625,0.07957897021198503,0.0
Q1b,LM,1.0,0.51325,0.06677434013152059,0.0
Q1b,AL,1.0,0.51525,0.06355558590714117,0.0
Q1b,RL,1.0,0.517625,0.07342289748436792,0.0
Q1c,V1,0.7134358974358974,0.3363599999999999,0.02936566443090928,0.0
Q1c,LM,0.7208205128205128,0.33475794871794873,0.027034908720880692,0.0
Q1c,AL,0.7165128205128205,0.33308615384615387,0.028439411477398792,0.0
Q1c,RL,0.7177435897435898,0.3399538461538461,0.026016380315244277,0.0
