question,area,n_neurons,acc_mean,acc_std,chance
Q1a,V1,25,0.8176362781954886,0.029171487105194918,0.5
Q1a,V1,50,0.8874991455912509,0.02229132448199914,0.5
Q1a,V1,100,0.9217177887901572,0.01875299438180221,0.5
Q1a,V1,200,0.9573479152426521,0.01708441730728253,0.5
Q1a,V1,400,0.9656848086124402,0.010237491484735187,0.5
Q1a,V1,468,0.9727140293916609,0.012735599606743045,0.5
Q1a,LM,25,0.8280822795625428,0.03695834243438582,0.5
Q1a,LM,50,0.8682458988380042,0.03459851512424568,0.5
Q1a,LM,100,0.9123816643882433,0.02524189414494287,0.5
Q1a,LM,200,0.947112098427888,0.009233014277278394,0.5
Q1a,LM,400,0.952938738892686,0.016473103878098635,0.5
Q1a,LM,468,0.9571095352016405,0.007939066329592289,0.5
Q1a,AL,25,0.7948568865345182,0.06454100656858552,0.5
Q1a,AL,50,0.8574606971975394,0.025179256680055828,0.5
Q1a,AL,100,0.8887038619275461,0.021922283072325792,0.5
Q1a,AL,200,0.9295988550922761,0.012592486795947416,0.5
Q1a,AL,400,0.9357911825017087,0.009116742341417234,0.5
Q1a,AL,468,0.9396103896103896,0.0,0.5
Q1a,RL,25,0.8122197539302803,0.024202871580098713,0.5
Q1a,RL,50,0.8547714456596036,0.02804592479234597,0.5
Q1a,RL,100,0.8959650546821599,0.0201946186715904,0.5
Q1a,RL,200,0.9315110218728639,0.019209753863867172,0.5
Q1a,RL,400,0.9538512474367737,0.006201717312729559,0.5
Q1a,RL,468,0.9487700786056049,0.012565123341666224,0.5
Q1b,V1,25,0.87375,0.059015358170564386,0.5
Q1b,V1,50,0.95625,0.021102428770167676,0.5
Q1b,V1,100,0.9875,0.0125,0.5
Q1b,V1,200,0.99875,0.0037499999999999873,0.5
Q1b,V1,400,0.99875,0.0037499999999999873,0.5
Q1b,V1,468,1.0,0.0,0.5
Q1b,LM,25,0.9450000000000001,0.03631459761583487,0.5
Q1b,LM,50,0.96875,0.020348525745124642,0.5
Q1b,LM,100,0.9875,0.011180339887498957,0.5
Q1b,LM,200,0.9974999999999999,0.004999999999999982,0.5
Q1b,LM,400,0.99875,0.0037499999999999873,0.5
Q1b,LM,468,1.0,0.0,0.5
Q1b,AL,25,0.8787499999999999,0.05185617128172885,0.5
Q1b,AL,50,0.9349999999999999,0.03570714214271425,0.5
Q1b,AL,100,0.9675,0.021065374432940903,0.5
Q1b,AL,200,0.99,0.009354143466934856,0.5
Q1b,AL,400,0.99875,0.0037499999999999873,0.5
Q1b,AL,468,1.0,0.0,0.5
Q1b,RL,25,0.9199999999999999,0.043373378932243675,0.5
Q1b,RL,50,0.9600000000000002,0.029474565306378982,0.5
Q1b,RL,100,0.98375,0.012562344526401136,0.5
Q1b,RL,200,0.9962500000000001,0.008003905296791063,0.5
Q1b,RL,400,1.0,0.0,0.5
Q1b,RL,468,1.0,0.0,0.5
Q1c,V1,25,0.49464615384615385,0.027619002691348125,0.3333333333333333
Q1c,V1,50,0.5210871794871795,0.028151976024946075,0.3333333333333333
Q1c,V1,100,0.5554153846153846,0.027575291229478112,0.3333333333333333
Q1c,V1,200,0.6058358974358975,0.02730530915326346,0.3333333333333333
Q1c,V1,400,0.6607794871794872,0.024976504935970707,0.3333333333333333
Q1c,V1,468,0.6778358974358974,0.01820392628751811,0.3333333333333333
Q1c,LM,25,0.5344820512820513,0.02374764544195526,0.3333333333333333
Q1c,LM,50,0.562748717948718,0.019467671747309987,0.3333333333333333
Q1c,LM,100,0.5832820512820512,0.034383917467438574,0.3333333333333333
Q1c,LM,200,0.6468205128205129,0.023331710284492116,0.3333333333333333
Q1c,LM,400,0.6956923076923077,0.023142198279828132,0.3333333333333333
Q1c,LM,468,0.6993025641025641,0.020381002098727227,0.3333333333333333
Q1c,AL,25,0.5163487179487178,0.029921209705985483,0.3333333333333333
Q1c,AL,50,0.5216615384615385,0.025474032620210904,0.3333333333333333
Q1c,AL,100,0.5410461538461538,0.02076049452222571,0.3333333333333333
Q1c,AL,200,0.5777128205128206,0.01907940706188231,0.3333333333333333
Q1c,AL,400,0.620748717948718,0.009093920056033912,0.3333333333333333
Q1c,AL,468,0.6121025641025641,0.0,0.3333333333333333
Q1c,RL,25,0.5053128205128206,0.03116250549698211,0.3333333333333333
Q1c,RL,50,0.5228615384615385,0.022783984593956495,0.3333333333333333
Q1c,RL,100,0.5456205128205129,0.02735182133199753,0.3333333333333333
Q1c,RL,200,0.611497435897436,0.026836283052985077,0.3333333333333333
Q1c,RL,400,0.6511692307692307,0.02722478856531373,0.3333333333333333
Q1c,RL,468,0.6630358974358974,0.017650277836122257,0.3333333333333333
