area,true,predicted,proportion
V1,Cinematic,Cinematic,0.765625
V1,Cinematic,Sports1M,0.1015625
V1,Cinematic,Rendered,0.1328125
V1,Sports1M,Cinematic,0.1015625
V1,Sports1M,Sports1M,0.703125
V1,Sports1M,Rendered,0.1953125
V1,Rendered,Cinematic,0.234375
V1,Rendered,Sports1M,0.171875
V1,Rendered,Rendered,0.59375
LM,Cinematic,Cinematic,0.703125
LM,Cinematic,Sports1M,0.1328125
LM,Cinematic,Rendered,0.1640625
LM,Sports1M,Cinematic,0.1015625
LM,Sports1M,Sports1M,0.7421875
LM,Sports1M,Rendered,0.15625
LM,Rendered,Cinematic,0.1484375
LM,Rendered,Sports1M,0.1484375
LM,Rendered,Rendered,0.703125
AL,Cinematic,Cinematic,0.6015625
AL,Cinematic,Sports1M,0.140625
AL,Cinematic,Rendered,0.2578125
AL,Sports1M,Cinematic,0.1328125
AL,Sports1M,Sports1M,0.703125
AL,Sports1M,Rendered,0.1640625
AL,Rendered,Cinematic,0.265625
AL,Rendered,Sports1M,0.203125
AL,Rendered,Rendered,0.53125
RL,Cinematic,Cinematic,0.703125
RL,Cinematic,Sports1M,0.1015625
RL,Cinematic,Rendered,0.1953125
RL,Sports1M,Cinematic,0.109375
RL,Sports1M,Sports1M,0.734375
RL,Sports1M,Rendered,0.15625
RL,Rendered,Cinematic,0.15625
RL,Rendered,Sports1M,0.21875
RL,Rendered,Rendered,0.625
