area,label,is_natural,cv_mean,cv_std,cv_median,n_trials
V1,Cinematic,1,31.150104522705078,61.565608978271484,22.239465713500977,128
V1,Monet2,0,22.03154945373535,14.722461700439453,21.975461959838867,40
V1,Rendered,1,24.724821090698242,25.434980392456055,20.588998794555664,128
V1,Sports1M,1,20.479005813598633,20.512928009033203,19.93769073486328,128
V1,Trippy,0,24.4566707611084,18.00444221496582,22.363353729248047,40
V1,_nat_vs_par_test,-1,2.2072010040283203,0.0,0.42548856139183044,464
LM,Cinematic,1,25.06093978881836,29.954919815063477,18.136959075927734,128
LM,Monet2,0,22.394678115844727,27.419143676757812,17.928462982177734,40
LM,Rendered,1,25.717884063720703,41.65028381347656,17.85907554626465,128
LM,Sports1M,1,27.3072509765625,89.0977554321289,15.51341438293457,128
LM,Trippy,0,17.101665496826172,12.725485801696777,16.018978118896484,40
LM,_nat_vs_par_test,-1,6.280519485473633,0.0,0.396292120218277,464
AL,Cinematic,1,22.242313385009766,39.40037155151367,14.728675842285156,128
AL,Monet2,0,13.6386137008667,11.832426071166992,11.278697967529297,40
AL,Rendered,1,23.840599060058594,34.17344665527344,16.102725982666016,128
AL,Sports1M,1,13.996543884277344,14.618160247802734,10.34232234954834,128
AL,Trippy,0,19.442956924438477,16.424345016479492,18.116790771484375,40
AL,_nat_vs_par_test,-1,3.485698699951172,0.0,0.5037384629249573,464
RL,Cinematic,1,28.5949764251709,47.08417892456055,17.880306243896484,128
RL,Monet2,0,29.506450653076172,95.05342864990234,11.963817596435547,40
RL,Rendered,1,18.984634399414062,14.94533920288086,17.15932846069336,128
RL,Sports1M,1,18.9234619140625,19.704259872436523,15.1245698928833,128
RL,Trippy,0,35.90019607543945,105.20645904541016,19.218801498413086,40
RL,_nat_vs_par_test,-1,-10.535634994506836,0.0,0.3260617256164551,464
