area,split,peak_acc,peak_t,mean_acc
V1,stable,0.585888009042269,68,0.5374450424671476
V1,unstable,0.6769093075826822,38,0.6380276194298382
LM,stable,0.5996648351648352,0,0.5259964133089132
LM,unstable,0.6624653139258402,49,0.6192309765242879
AL,stable,0.6635553335553335,35,0.5409085397627064
AL,unstable,0.6832016199271101,8,0.5965009163143884
RL,stable,0.6303140959487709,68,0.5481452555943656
RL,unstable,0.7101675736044661,5,0.6296045170985397
