area,true,predicted,proportion
V1,Cinematic,Cinematic,0.515625
V1,Cinematic,Sports1M,0.203125
V1,Cinematic,Rendered,0.15625
V1,Cinematic,Monet2,0.0625
V1,Cinematic,Trippy,0.0625
V1,Sports1M,Cinematic,0.109375
V1,Sports1M,Sports1M,0.6484375
V1,Sports1M,Rendered,0.1015625
V1,Sports1M,Monet2,0.0625
V1,Sports1M,Trippy,0.078125
V1,Rendered,Cinematic,0.1796875
V1,Rendered,Sports1M,0.234375
V1,Rendered,Rendered,0.484375
V1,Rendered,Monet2,0.0390625
V1,Rendered,Trippy,0.0625
V1,Monet2,Cinematic,0.0
V1,Monet2,Sports1M,0.1
V1,Monet2,Rendered,0.05
V1,Monet2,Monet2,0.8
V1,Monet2,Trippy,0.05
V1,Trippy,Cinematic,0.05
V1,Trippy,Sports1M,0.05
V1,Trippy,Rendered,0.05
V1,Trippy,Monet2,0.075
V1,Trippy,Trippy,0.775
LM,Cinematic,Cinematic,0.578125
LM,Cinematic,Sports1M,0.1640625
LM,Cinematic,Rendered,0.125
LM,Cinematic,Monet2,0.0546875
LM,Cinematic,Trippy,0.078125
LM,Sports1M,Cinematic,0.0703125
LM,Sports1M,Sports1M,0.6796875
LM,Sports1M,Rendered,0.1328125
LM,Sports1M,Monet2,0.0234375
LM,Sports1M,Trippy,0.09375
LM,Rendered,Cinematic,0.1953125
LM,Rendered,Sports1M,0.1796875
LM,Rendered,Rendered,0.53125
LM,Rendered,Monet2,0.046875
LM,Rendered,Trippy,0.046875
LM,Monet2,Cinematic,0.0
LM,Monet2,Sports1M,0.05
LM,Monet2,Rendered,0.05
LM,Monet2,Monet2,0.85
LM,Monet2,Trippy,0.05
LM,Trippy,Cinematic,0.025
LM,Trippy,Sports1M,0.1
LM,Trippy,Rendered,0.025
LM,Trippy,Monet2,0.05
LM,Trippy,Trippy,0.8
AL,Cinematic,Cinematic,0.5703125
AL,Cinematic,Sports1M,0.1640625
AL,Cinematic,Rendered,0.1171875
AL,Cinematic,Monet2,0.0625
AL,Cinematic,Trippy,0.0859375
AL,Sports1M,Cinematic,0.1015625
AL,Sports1M,Sports1M,0.6484375
AL,Sports1M,Rendered,0.1484375
AL,Sports1M,Monet2,0.046875
AL,Sports1M,Trippy,0.0546875
AL,Rendered,Cinematic,0.125
AL,Rendered,Sports1M,0.25
AL,Rendered,Rendered,0.5078125
AL,Rendered,Monet2,0.0546875
AL,Rendered,Trippy,0.0625
AL,Monet2,Cinematic,0.025
AL,Monet2,Sports1M,0.125
AL,Monet2,Rendered,0.025
AL,Monet2,Monet2,0.775
AL,Monet2,Trippy,0.05
AL,Trippy,Cinematic,0.025
AL,Trippy,Sports1M,0.075
AL,Trippy,Rendered,0.1
AL,Trippy,Monet2,0.05
AL,Trippy,Trippy,0.75
RL,Cinematic,Cinematic,0.5859375
RL,Cinematic,Sports1M,0.203125
RL,Cinematic,Rendered,0.1015625
RL,Cinematic,Monet2,0.0390625
RL,Cinematic,Trippy,0.0703125
RL,Sports1M,Cinematic,0.078125
RL,Sports1M,Sports1M,0.6640625
RL,Sports1M,Rendered,0.1171875
RL,Sports1M,Monet2,0.0703125
RL,Sports1M,Trippy,0.0703125
RL,Rendered,Cinematic,0.1015625
RL,Rendered,Sports1M,0.203125
RL,Rendered,Rendered,0.5859375
RL,Rendered,Monet2,0.0390625
RL,Rendered,Trippy,0.0703125
RL,Monet2,Cinematic,0.0
RL,Monet2,Sports1M,0.05
RL,Monet2,Rendered,0.05
RL,Monet2,Monet2,0.85
RL,Monet2,Trippy,0.05
RL,Trippy,Cinematic,0.05
RL,Trippy,Sports1M,0.075
RL,Trippy,Rendered,0.075
RL,Trippy,Monet2,0.025
RL,Trippy,Trippy,0.775
