area,true,predicted,proportion
V1,filmed,filmed,0.6640625
V1,filmed,rendered,0.23046875
V1,filmed,parametric,0.10546875
V1,rendered,filmed,0.4140625
V1,rendered,rendered,0.515625
V1,rendered,parametric,0.0703125
V1,parametric,filmed,0.075
V1,parametric,rendered,0.0625
V1,parametric,parametric,0.8625
LM,filmed,filmed,0.69140625
LM,filmed,rendered,0.203125
LM,filmed,parametric,0.10546875
LM,rendered,filmed,0.359375
LM,rendered,rendered,0.5625
LM,rendered,parametric,0.078125
LM,parametric,filmed,0.075
LM,parametric,rendered,0.0375
LM,parametric,parametric,0.8875
AL,filmed,filmed,0.7265625
AL,filmed,rendered,0.171875
AL,filmed,parametric,0.1015625
AL,rendered,filmed,0.359375
AL,rendered,rendered,0.5234375
AL,rendered,parametric,0.1171875
AL,parametric,filmed,0.075
AL,parametric,rendered,0.0875
AL,parametric,parametric,0.8375
RL,filmed,filmed,0.73046875
RL,filmed,rendered,0.1796875
RL,filmed,parametric,0.08984375
RL,rendered,filmed,0.34375
RL,rendered,rendered,0.5703125
RL,rendered,parametric,0.0859375
RL,parametric,filmed,0.0875
RL,parametric,rendered,0.075
RL,parametric,parametric,0.8375
