area_a,area_b,mean_diff,std_diff,p_raw,p_bonferroni,significant
V1,LM,0.0034379699248120034,0.01328513002907041,0.06043801780485316,0.36262810682911895,False
V1,AL,0.016068779904306135,0.009909106974181332,1.9774028185813575e-09,1.1864416911488144e-08,True
V1,RL,-0.005121582365003403,0.012889681694257856,0.011529687649083797,0.06917812589450278,False
LM,AL,0.012270933014353978,0.009164288028989515,3.36399858144513e-09,2.018399148867078e-08,True
LM,RL,-0.008919429254955561,0.012533399874247154,4.3475702249540257e-05,0.0002608542134972415,True
AL,RL,-0.020451640464798273,0.010184703725472501,9.063995250059831e-10,5.4383971500358985e-09,True
