area,task,acc_mean,acc_std,chance,n_neurons
V1,5class_full,0.6547184615384616,0.014441329660625571,0.2,575
LM,5class_full,0.6826476923076924,0.005614328457052416,0.2,575
AL,5class_full,0.6504153846153846,0.0,0.2,575
RL,5class_full,0.6872030769230768,0.013629320638428317,0.2,575
