area,task,acc_mean,acc_std,chance,n_neurons
V1,3class_origin,0.7051518853695323,0.014717145940134584,0.3333333333333333,575
LM,3class_origin,0.703980693815988,0.009395970473217238,0.3333333333333333,575
AL,3class_origin,0.6956573655103067,0.0,0.3333333333333333,575
RL,3class_origin,0.7179078934137757,0.017430360059227722,0.3333333333333333,575
