area,observed,null_mean,null_std,p_value
V1,0.8703178400546822,0.5004361115857826,0.02964501221472044,0.0
LM,0.88436004784689,0.49836833561175664,0.02811780429737994,0.0
AL,0.8627007860560493,0.5001351674641148,0.029920539105058024,0.0
RL,0.8877007860560493,0.5026945702323992,0.028385783767429538,0.0
