area,n_neurons,mean_abs_d,median_abs_d,max_abs_d,frac_above_02
V1,7725,0.2644406855106354,0.2293800711631775,2.403873920440674,0.564789644012945
LM,1534,0.23449738323688507,0.1839856654405594,2.044311046600342,0.46870925684485004
AL,575,0.20194603502750397,0.1602998673915863,2.678572416305542,0.38956521739130434
RL,1367,0.2717452347278595,0.23352064192295074,2.2686402797698975,0.5603511338697879
