question,area,observed,null_mean,null_std,p_value
Q1a,V1,0.9924512987012987,0.5053644907723854,0.019212251776886367,0.0
Q1a,LM,0.9684894053315105,0.49604583902939176,0.024825666880289556,0.0
Q1a,AL,0.9268327067669173,0.4952401742993849,0.02625827231985472,0.0
Q1a,RL,0.9583433014354066,0.5011198308270677,0.025670994927592776,0.0
Q1b,V1,1.0,0.5298750000000001,0.0647566357603605,0.0
Q1b,LM,0.9875,0.525125,0.07358020708723238,0.0
Q1b,AL,0.9875,0.527625,0.06195499878944394,0.0
Q1b,RL,0.9875,0.516125,0.06976063986948514,0.0
Q1c,V1,0.7084102564102563,0.3392430769230769,0.027145777954398487,0.0
Q1c,LM,0.6582564102564102,0.3371107692307692,0.0279938381686205,0.0
Q1c,AL,0.5492307692307693,0.3347969230769231,0.028301280786363476,0.0
Q1c,RL,0.5524102564102564,0.33198153846153844,0.0260437557470544,0.0
