area,true,predicted,proportion
V1,Cinematic,Cinematic,0.609375
V1,Cinematic,Sports1M,0.140625
V1,Cinematic,Rendered,0.25
V1,Sports1M,Cinematic,0.1875
V1,Sports1M,Sports1M,0.5859375
V1,Sports1M,Rendered,0.2265625
V1,Rendered,Cinematic,0.2890625
V1,Rendered,Sports1M,0.2421875
V1,Rendered,Rendered,0.46875
LM,Cinematic,Cinematic,0.59375
LM,Cinematic,Sports1M,0.1796875
LM,Cinematic,Rendered,0.2265625
LM,Sports1M,Cinematic,0.1953125
LM,Sports1M,Sports1M,0.625
LM,Sports1M,Rendered,0.1796875
LM,Rendered,Cinematic,0.2265625
LM,Rendered,Sports1M,0.2109375
LM,Rendered,Rendered,0.5625
AL,Cinematic,Cinematic,0.5234375
AL,Cinematic,Sports1M,0.1953125
AL,Cinematic,Rendered,0.28125
AL,Sports1M,Cinematic,0.21875
AL,Sports1M,Sports1M,0.609375
AL,Sports1M,Rendered,0.171875
AL,Rendered,Cinematic,0.28125
AL,Rendered,Sports1M,0.2109375
AL,Rendered,Rendered,0.5078125
RL,Cinematic,Cinematic,0.515625
RL,Cinematic,Sports1M,0.2109375
RL,Cinematic,Rendered,0.2734375
RL,Sports1M,Cinematic,0.265625
RL,Sports1M,Sports1M,0.46875
RL,Sports1M,Rendered,0.265625
RL,Rendered,Cinematic,0.3203125
RL,Rendered,Sports1M,0.1640625
RL,Rendered,Rendered,0.515625
