area,true,predicted,proportion
V1,Cinematic,Cinematic,0.609375
V1,Cinematic,Sports1M,0.1484375
V1,Cinematic,Rendered,0.2421875
V1,Sports1M,Cinematic,0.1640625
V1,Sports1M,Sports1M,0.6171875
V1,Sports1M,Rendered,0.21875
V1,Rendered,Cinematic,0.2578125
V1,Rendered,Sports1M,0.265625
V1,Rendered,Rendered,0.4765625
LM,Cinematic,Cinematic,0.609375
LM,Cinematic,Sports1M,0.1796875
LM,Cinematic,Rendered,0.2109375
LM,Sports1M,Cinematic,0.203125
LM,Sports1M,Sports1M,0.609375
LM,Sports1M,Rendered,0.1875
LM,Rendered,Cinematic,0.1875
LM,Rendered,Sports1M,0.2734375
LM,Rendered,Rendered,0.5390625
AL,Cinematic,Cinematic,0.53125
AL,Cinematic,Sports1M,0.171875
AL,Cinematic,Rendered,0.296875
AL,Sports1M,Cinematic,0.1796875
AL,Sports1M,Sports1M,0.609375
AL,Sports1M,Rendered,0.2109375
AL,Rendered,Cinematic,0.265625
AL,Rendered,Sports1M,0.2265625
AL,Rendered,Rendered,0.5078125
RL,Cinematic,Cinematic,0.546875
RL,Cinematic,Sports1M,0.2109375
RL,Cinematic,Rendered,0.2421875
RL,Sports1M,Cinematic,0.2265625
RL,Sports1M,Sports1M,0.5078125
RL,Sports1M,Rendered,0.265625
RL,Rendered,Cinematic,0.2890625
RL,Rendered,Sports1M,0.1953125
RL,Rendered,Rendered,0.515625
