question,area,observed,null_mean,null_std,p_value
Q1a,V1,0.9823051948051947,0.4988612867395762,0.01939257436173281,0.0
Q1a,LM,0.9862012987012987,0.50047748632946,0.023963908250641184,0.0
Q1a,AL,0.9075444292549555,0.5037356886534518,0.025858262155858423,0.0
Q1a,RL,0.9484577922077921,0.5008970864661655,0.022106398794346813,0.0
Q1b,V1,1.0,0.51925,0.07235805069237286,0.0
Q1b,LM,0.9875,0.5263749999999999,0.06864526112558682,0.0
Q1b,AL,1.0,0.5283749999999999,0.06282055296636603,0.0
Q1b,RL,0.975,0.523,0.077272245987806,0.0
Q1c,V1,0.7627692307692309,0.33439692307692304,0.02679454802405296,0.0
Q1c,LM,0.7572307692307693,0.3363405128205128,0.027499330953549284,0.0
Q1c,AL,0.676923076923077,0.3347507692307692,0.025796245587110782,0.0
Q1c,RL,0.7289230769230769,0.3401292307692308,0.023522394918925528,0.0
