area,true,predicted,proportion
V1,Cinematic,Cinematic,0.640625
V1,Cinematic,Sports1M,0.0859375
V1,Cinematic,Rendered,0.2734375
V1,Sports1M,Cinematic,0.1640625
V1,Sports1M,Sports1M,0.734375
V1,Sports1M,Rendered,0.1015625
V1,Rendered,Cinematic,0.25
V1,Rendered,Sports1M,0.1640625
V1,Rendered,Rendered,0.5859375
LM,Cinematic,Cinematic,0.671875
LM,Cinematic,Sports1M,0.109375
LM,Cinematic,Rendered,0.21875
LM,Sports1M,Cinematic,0.125
LM,Sports1M,Sports1M,0.7265625
LM,Sports1M,Rendered,0.1484375
LM,Rendered,Cinematic,0.203125
LM,Rendered,Sports1M,0.1171875
LM,Rendered,Rendered,0.6796875
AL,Cinematic,Cinematic,0.6640625
AL,Cinematic,Sports1M,0.1328125
AL,Cinematic,Rendered,0.203125
AL,Sports1M,Cinematic,0.1796875
AL,Sports1M,Sports1M,0.6953125
AL,Sports1M,Rendered,0.125
AL,Rendered,Cinematic,0.15625
AL,Rendered,Sports1M,0.140625
AL,Rendered,Rendered,0.703125
RL,Cinematic,Cinematic,0.5859375
RL,Cinematic,Sports1M,0.1796875
RL,Cinematic,Rendered,0.234375
RL,Sports1M,Cinematic,0.1484375
RL,Sports1M,Sports1M,0.7265625
RL,Sports1M,Rendered,0.125
RL,Rendered,Cinematic,0.203125
RL,Rendered,Sports1M,0.140625
RL,Rendered,Rendered,0.65625
