question,area_a,area_b,mean_diff,std_diff,p_raw,p_bonferroni,significant
Q1a,V1,LM,0.02118250170881752,0.01864166284560671,1.0559122734362712e-07,6.335473640617627e-07,True
Q1a,V1,AL,0.06410705741626789,0.013416977870576314,7.555220876380673e-10,4.5331325258284044e-09,True
Q1a,V1,RL,0.04324213943950791,0.019496076579526185,8.528474683027008e-10,5.117084809816205e-09,True
Q1a,LM,AL,0.047111073137388854,0.01231073933921575,7.550097219539461e-10,4.530058331723677e-09,True
Q1a,LM,RL,0.026246155160628865,0.018082323022741313,2.099774562087798e-09,1.259864737252679e-08,True
Q1a,AL,RL,-0.020871838687628066,0.016197295603200858,1.129888880169007e-08,6.779333281014042e-08,True
Q1b,V1,LM,0.0022500000000000007,0.012915591353089511,0.28670172846653763,1.0,False
Q1b,V1,AL,0.022999999999999993,0.00979795897113272,9.047254810919532e-10,5.42835288655172e-09,True
Q1b,V1,RL,0.030750000000000027,0.014407029534223926,1.0791221196468822e-09,6.474732717881293e-09,True
Q1b,LM,AL,0.01899999999999999,0.008381527307120124,6.117453497302026e-10,3.6704720983812157e-09,True
Q1b,LM,RL,0.026750000000000017,0.014792312192487035,2.3383798323862178e-09,1.4030278994317306e-08,True
Q1b,AL,RL,0.0057500000000000285,0.008370334521391623,7.851646221394182e-06,4.710987732836509e-05,True
Q1c,V1,LM,-0.028664615384615368,0.03453104248644292,9.165901973044718e-07,5.499541183826831e-06,True
Q1c,V1,AL,0.028730256410256304,0.025587008866770497,2.344352355311041e-08,1.4066114131866245e-07,True
Q1c,V1,RL,0.01633846153846153,0.02932910315562369,0.00038869630909675205,0.002332177854580512,True
Q1c,LM,AL,0.05549128205128195,0.023103646839934263,7.555220876380673e-10,4.5331325258284044e-09,True
Q1c,LM,RL,0.04309948717948717,0.033187146359663064,4.3806736016449577e-11,2.6284041609869746e-10,True
Q1c,AL,RL,-0.007677948717948608,0.02271558485125971,0.04118207080274487,0.24709242481646923,False
