trial_idx,hash,type,short_name,movie_name,label,is_natural,origin,naturalness_group
43,8tjZI4l5Yh9nTt8R4JKs,Clip,Rendered,mountainlake_006-1-0-70-0_54.209.141.225,Rendered,True,rendered,cg_natural
44,TfeSPJSVB727qTKnG4sF,Clip,Rendered,mountainlake_041-1-0-70-0_54.89.40.102,Rendered,True,rendered,cg_natural
45,+2QLCop5iv/3ozCv1IzN,Clip,Rendered,mountainlake_001-1-0-70-0_184.73.123.94,Rendered,True,rendered,cg_natural
46,zcz9H/fzww6BdAJTTzoe,Trippy,UNKNOWN,UNKNOWN,Trippy,False,parametric,parametric
47,ZJvulWBItHtLlDVkIntm,Trippy,UNKNOWN,UNKNOWN,Trippy,False,parametric,parametric
48,+4gByvU9LfvSD0JHP6Ae,Trippy,UNKNOWN,UNKNOWN,Trippy,False,parametric,parametric
49,tRgm529SPpQspr220FRm,Trippy,UNKNOWN,UNKNOWN,Trippy,False,parametric,parametric
50,BVPzxojslLHfZa0ukTv2,Monet2,UNKNOWN,UNKNOWN,Monet2,False,parametric,parametric
51,kEq0YeYOSSBtM1ZkWA1a,Monet2,UNKNOWN,UNKNOWN,Monet2,False,parametric,parametric
52,JA9OdVsDi7NemSkaLb+I,Monet2,UNKNOWN,UNKNOWN,Monet2,False,parametric,parametric
53,ZaQYCXAkAPbuEWtIPr2v,Monet2,UNKNOWN,UNKNOWN,Monet2,False,parametric,parametric
54,/NSdwEThQvrWeP0mOAfk,Clip,Rendered,run229-templeInterior-1-0,Rendered,True,rendered,cg_natural
55,QaeK/4xeV/azgh0UbwZJ,Clip,Cinematic,Mad Max: Fury Road (2015),Cinematic,True,filmed,human_filmed
56,JDH0DxXlV/7n2LW/iy4f,Clip,Rendered,mountainlake_090-1-0-70-0_54.89.40.102,Rendered,True,rendered,cg_natural
57,i3APuUu6iyxDAn82Fp8d,Clip,sports1m,2012 July 17 Midweek MTB Deer Valley Silver Lake Lodge XC Race (Stabilized),Sports1M,True,filmed,human_filmed
58,pwmfI18CxuxhUxdjpJyq,Clip,Rendered,kowloon_119-1-8-70-0_54.209.141.225,Rendered,True,rendered,cg_natural
59,8cw+KJY19+poLbTXii0l,Clip,Cinematic,Naqoyqatsi: Life as War (2002),Cinematic,True,filmed,human_filmed
60,X0kfDIbaUl2C9CygWwzj,Clip,sports1m,1 of 2 - 2011 ICup Red Rock Desert Rampage XC Mountain Bike Race,Sports1M,True,filmed,human_filmed
61,SBNZVTB03VR8wlvZlucq,Clip,Cinematic,Naqoyqatsi: Life as War (2002),Cinematic,True,filmed,human_filmed
62,oN1UwrcLWdEYZzAYWDr4,Clip,Rendered,run205-lowPolyJungle-1-0,Rendered,True,rendered,cg_natural
63,6Ix56+vxAwgIrYaCM9RA,Clip,Cinematic,Naqoyqatsi: Life as War (2002),Cinematic,True,filmed,human_filmed
64,/3cVqNzav4cRdcLPJXWr,Clip,Cinematic,Koyaanisqatsi: Life Out of Balance (1982),Cinematic,True,filmed,human_filmed
65,Un+cQhen6dfqj4R6fxyf,Clip,Cinematic,Star Wars: Episode VII - The Force Awakens (2015),Cinematic,True,filmed,human_filmed
66,Mg5bLgoNvze3EPLB9rbZ,Clip,sports1m,2011 KIA X-GAME Aggressive Inline VERT Final,Sports1M,True,filmed,human_filmed
67,yfFAPn1QpVQmEC2iXg07,Clip,Rendered,swamp_103-1-11-70-0_54.162.127.170,Rendered,True,rendered,cg_natural
68,fSfoxctVyPEoVzFOpsAw,Clip,Rendered,ancienttomb_068-1-4-70-0_34.239.124.192,Rendered,True,rendered,cg_natural
69,5Q4+LRPdnmpiazfLNOdJ,Clip,Rendered,mountainlake_006-1-0-70-0_184.73.123.94,Rendered,True,rendered,cg_natural
70,EyGfkWSsxEsE8f3GX5Ox,Clip,Rendered,lowpolyjungle_079-1-9-70-0_52.87.152.28,Rendered,True,rendered,cg_natural
71,Lp/pttdcIH1AZsCOGZuG,Clip,Cinematic,Naqoyqatsi: Life as War (2002),Cinematic,True,filmed,human_filmed
72,5zQTb77qI+ig8rigx1XU,Clip,Cinematic,Mad Max: Fury Road (2015),Cinematic,True,filmed,human_filmed
73,7UETOWO5Z8aWuHDBJ2GG,Clip,Cinematic,Star Wars: Episode VII - The Force Awakens (2015),Cinematic,True,filmed,human_filmed
74,KXdTNAGMo1gCWz2Ge8zr,Clip,Rendered,run82-ancientTomb-1-0,Rendered,True,rendered,cg_natural
