area,true,predicted,proportion
V1,Cinematic,Cinematic,0.7109375
V1,Cinematic,Sports1M,0.0703125
V1,Cinematic,Rendered,0.21875
V1,Sports1M,Cinematic,0.078125
V1,Sports1M,Sports1M,0.7421875
V1,Sports1M,Rendered,0.1796875
V1,Rendered,Cinematic,0.203125
V1,Rendered,Sports1M,0.140625
V1,Rendered,Rendered,0.65625
LM,Cinematic,Cinematic,0.8125
LM,Cinematic,Sports1M,0.0546875
LM,Cinematic,Rendered,0.1328125
LM,Sports1M,Cinematic,0.1015625
LM,Sports1M,Sports1M,0.734375
LM,Sports1M,Rendered,0.1640625
LM,Rendered,Cinematic,0.1875
LM,Rendered,Sports1M,0.1484375
LM,Rendered,Rendered,0.6640625
AL,Cinematic,Cinematic,0.6875
AL,Cinematic,Sports1M,0.0859375
AL,Cinematic,Rendered,0.2265625
AL,Sports1M,Cinematic,0.1015625
AL,Sports1M,Sports1M,0.71875
AL,Sports1M,Rendered,0.1796875
AL,Rendered,Cinematic,0.171875
AL,Rendered,Sports1M,0.1796875
AL,Rendered,Rendered,0.6484375
RL,Cinematic,Cinematic,0.703125
RL,Cinematic,Sports1M,0.1171875
RL,Cinematic,Rendered,0.1796875
RL,Sports1M,Cinematic,0.140625
RL,Sports1M,Sports1M,0.6875
RL,Sports1M,Rendered,0.171875
RL,Rendered,Cinematic,0.1640625
RL,Rendered,Sports1M,0.1484375
RL,Rendered,Rendered,0.6875
