question,area_a,area_b,mean_diff,std_diff,p_raw,p_bonferroni,significant
Q1a,V1,LM,-0.003691985645933009,0.015784441933488685,0.08226751834101265,0.4936051100460759,False
Q1a,V1,AL,0.04534509569377986,0.01310067548188989,7.550097219539461e-10,4.530058331723677e-09,True
Q1a,V1,RL,0.027563824333561214,0.02034869997410887,2.022026990289305e-11,1.213216194173583e-10,True
Q1a,LM,AL,0.0511670369104579,0.013041323568177587,7.555220876380673e-10,4.5331325258284044e-09,True
Q1a,LM,RL,0.03338576555023926,0.017174240593753734,9.066026281609868e-10,5.439615768965921e-09,True
Q1a,AL,RL,-0.017249231032125712,0.014636997209303016,1.983354425911108e-08,1.1900126555466648e-07,True
Q1b,V1,LM,0.006249999999999993,0.009100137361600641,6.340922447218429e-05,0.0003804553468331058,True
Q1b,V1,AL,0.010749999999999961,0.004337337893224353,5.473986478005109e-11,3.284391886803065e-10,True
Q1b,V1,RL,0.02550000000000001,0.00934077084613469,4.2181534301598237e-10,2.530892058095894e-09,True
Q1b,LM,AL,0.006749999999999967,0.008735702604828064,0.0007806297286952309,0.004683778372171385,True
Q1b,LM,RL,0.021500000000000012,0.010908712114635706,9.968211706047583e-10,5.98092702362855e-09,True
Q1b,AL,RL,0.013250000000000053,0.006329494450586083,3.318421620632928e-10,1.9910529723797567e-09,True
Q1c,V1,LM,-0.013679999999999996,0.029138928253737525,0.0027053239960554976,0.016231943976332985,True
Q1c,V1,AL,0.015696410256410318,0.023400291282036533,8.032335874706504e-05,0.00048194015248239025,True
Q1c,V1,RL,-0.00012307692307692353,0.029464122981412048,0.8242900763701465,1.0,False
Q1c,LM,AL,0.034687179487179545,0.0200877077495131,9.059934411677675e-10,5.435960647006605e-09,True
Q1c,LM,RL,0.018867692307692304,0.02689574943259792,9.898605478397826e-06,5.939163287038696e-05,True
Q1c,AL,RL,-0.014096410256410303,0.019658626752285312,3.6012863676485595e-05,0.00021607718205891358,True
