question,area_a,area_b,mean_diff,std_diff,p_raw,p_bonferroni,significant
Q1a,V1,LM,0.01704169514695828,0.015159617177450992,1.7568968502246207e-09,1.0541381101347724e-08,True
Q1a,V1,AL,0.01381066302118934,0.009516306572277474,5.355014968787852e-09,3.213008981272711e-08,True
Q1a,V1,RL,0.008122607655502368,0.011528673255523824,3.241727387181166e-05,0.00019450364323086997,True
Q1a,LM,AL,-0.003430878332194094,0.009632320501246124,0.03328757246533131,0.19972543479198784,False
Q1a,LM,RL,-0.009118933697881066,0.014143318162386795,0.00013904496340736404,0.0008342697804441842,True
Q1a,AL,RL,-0.005501452494873533,0.0068939131597475995,4.630804798992092e-06,2.7784828793952552e-05,True
Q1b,V1,LM,0.005000000000000002,0.01030776406404417,0.01049070055161436,0.06294420330968617,False
Q1b,V1,AL,0.01300000000000005,0.007053367989832945,1.1044620578073076e-09,6.626772346843846e-09,True
Q1b,V1,RL,0.010000000000000031,0.007905694150420962,1.0423433384534269e-07,6.254060030720561e-07,True
Q1b,LM,AL,0.006500000000000041,0.007599342076785356,1.0384123233310218e-07,6.230473939986131e-07,True
Q1b,LM,RL,0.003500000000000023,0.011191514642799733,0.005810215254054564,0.03486129152432739,True
Q1b,AL,RL,-0.0015000000000000258,0.008154753215150058,0.0023008355729122842,0.013805013437473704,True
Q1c,V1,LM,-0.03252307692307693,0.03327870711340872,5.578837643399114e-07,3.3473025860394683e-06,True
Q1c,V1,AL,0.07076102564102559,0.024715546984072464,7.555220876380673e-10,4.5331325258284044e-09,True
Q1c,V1,RL,0.05704820512820512,0.03778756796838287,9.769962616701378e-14,5.861977570020827e-13,True
Q1c,LM,AL,0.11424205128205124,0.021990633449274,7.555220876380673e-10,4.5331325258284044e-09,True
Q1c,LM,RL,0.10052923076923079,0.03318196707729969,1.7763568394002505e-15,1.0658141036401503e-14,True
Q1c,AL,RL,-0.010227692307692262,0.025579890523828402,0.003040720673919844,0.018244324043519066,True
