question,area,observed,null_mean,null_std,p_value
Q1a,V1,0.9924512987012987,0.5010789046479835,0.01769001793337892,0.0
Q1a,LM,0.9799512987012987,0.5017918233082707,0.024400440090093383,0.0
Q1a,AL,0.9681946343130553,0.4992470950102529,0.025816650547577424,0.0
Q1a,RL,0.9862012987012987,0.5043165584415585,0.02654630774490638,0.0
Q1b,V1,0.9875,0.5082499999999999,0.062280113198355705,0.0
Q1b,LM,0.9875,0.5175,0.06903350635742038,0.0
Q1b,AL,0.975,0.49962500000000004,0.06515498350088042,0.0
Q1b,RL,0.975,0.512625,0.055269086069881776,0.0
Q1c,V1,0.7581538461538463,0.3328276923076923,0.026740663625352684,0.0
Q1c,LM,0.7658461538461538,0.33471794871794863,0.03167543987262466,0.0
Q1c,AL,0.5754871794871795,0.33992820512820515,0.02713120627090991,0.0
Q1c,RL,0.6642051282051281,0.3366810256410256,0.031024349267450724,0.0
